"","cod_municipio_ibge","total","total_abertas","media_tempo_horas","dias"
"552",2105922,208,30,61.065,2.544375
"553",2105948,257,32,25.81,1.07541666666667
"554",2105963,203,23,14.055,0.585625
"555",2105989,209,41,77.46,3.2275
"556",2106003,365,72,12.58375,0.524322916666667
"557",2106102,302,56,44.825,1.86770833333333
"558",2106201,201,29,39.8666666666667,1.66111111111111
"559",2106300,413,55,38.394,1.59975
"560",2106326,726,126,121.999285714286,5.08330357142857
"561",2106359,60,9,25.14,1.0475
"562",2106375,177,40,47.81,1.99208333333333
"563",2106409,303,45,42.1466666666667,1.75611111111111
"564",2106508,392,63,73.125,3.046875
"565",2106607,505,98,139.61625,5.81734375
"566",2106631,146,25,22.9,0.954166666666667
"567",2106672,53,7,45.36,1.89
"568",2106706,417,58,88.764,3.6985
"569",2106755,627,100,30.466,1.26941666666667
"570",2106805,437,57,31.3542857142857,1.30642857142857
"571",2106904,316,53,16.3411111111111,0.68087962962963
"572",2107001,153,26,145.48,6.06166666666667
"573",2107100,420,88,86.2714285714286,3.59464285714286
"574",2107209,162,31,21.505,0.896041666666667
"575",2107258,98,21,28.2016666666667,1.17506944444444
"576",2107308,63,10,NA,NA
"577",2107357,289,51,73.184,3.04933333333333
"578",2107407,369,52,64.6957142857143,2.69565476190476
"579",2107456,206,39,199.548333333333,8.31451388888889
"580",2107506,6424,1398,86.5416666666667,3.60590277777778
"581",2107605,202,35,92.626,3.85941666666667
"582",2107704,468,75,49.0730769230769,2.04471153846154
"583",2107803,610,119,76.1583333333333,3.17326388888889
"584",2107902,417,61,78.5333333333333,3.27222222222222
"585",2108009,561,77,17.628,0.7345
"586",2108058,305,78,39.4835714285714,1.64514880952381
"587",2108108,394,61,26.089,1.08704166666667
"588",2108207,2052,288,69.8874193548387,2.91197580645161
"589",2108256,222,38,109.185,4.549375
"590",2108306,459,77,39.818,1.65908333333333
"591",2108405,183,28,23.78,0.990833333333333
"592",2108454,387,60,97.3857142857143,4.0577380952381
"593",2108504,724,150,26.4357894736842,1.10149122807018
"594",2108603,2968,444,72.7702702702703,3.03209459459459
"595",2108702,506,85,95.6242857142857,3.98434523809524
"596",2108801,257,46,39.5885714285714,1.64952380952381
"597",2108900,345,58,53.2366666666667,2.21819444444444
"598",2109007,1314,187,42.874347826087,1.78643115942029
"599",2109056,100,9,NA,NA
"600",2109106,2504,341,40.3807692307692,1.68253205128205
"601",2109205,148,32,58.87,2.45291666666667
"602",2109239,128,20,15.99,0.66625
"603",2109270,289,55,66.2366666666667,2.75986111111111
"604",2109304,133,22,28.535,1.18895833333333
"605",2109403,118,31,111.94,4.66416666666667
"606",2109452,1151,218,87.7694117647059,3.65705882352941
"607",2109502,722,137,32.6418181818182,1.36007575757576
"608",2109551,171,26,61.84,2.57666666666667
"609",2109601,1143,214,123.543181818182,5.14763257575758
"610",2109700,120,10,20.67,0.86125
"611",2109759,84,9,36.85,1.53541666666667
"612",2109809,767,125,40.9163636363636,1.70484848484848
"613",2109908,4513,749,82.8071111111111,3.4502962962963
"614",2110005,1452,298,62.16875,2.59036458333333
"615",2110039,689,95,32.71625,1.36317708333333
"616",2110104,419,60,77.8642857142857,3.24434523809524
"617",2110203,1011,199,53.9733333333333,2.24888888888889
"618",2110237,128,19,27.05,1.12708333333333
"619",2110278,456,92,124.034285714286,5.16809523809524
"620",2110302,434,81,29.9313333333333,1.24713888888889
"621",2110401,291,39,72.6233333333333,3.02597222222222
"622",2110500,837,133,83.7664705882353,3.49026960784314
"623",2110609,743,92,23.8815384615385,0.995064102564103
"624",2110658,292,45,4.98,0.2075
"625",2110708,937,163,54.7457142857143,2.28107142857143
"626",2110807,96,17,171.74,7.15583333333333
"627",2110856,219,34,174.6775,7.27822916666667
"628",2110906,207,41,118.41,4.93375
"629",2111003,218,37,65.4925,2.72885416666667
"630",2111029,238,39,32.9466666666667,1.37277777777778
"631",2111052,339,48,23.3233333333333,0.971805555555556
"632",2111078,231,33,442.34,18.4308333333333
"633",2111102,1022,145,32.50625,1.35442708333333
"634",2111201,10907,2551,93.4928846153846,3.89553685897436
"635",2111250,95,14,53.778,2.24075
"636",2111300,92534,16335,486.682828282828,20.2784511784512
"637",2111409,264,49,80.9833333333333,3.37430555555556
"638",2111508,1129,192,43.7,1.82083333333333
"639",2111532,422,54,56.35,2.34791666666667
"640",2111573,156,22,11.03,0.459583333333333
"641",2111607,690,112,65.2191666666667,2.71746527777778
"642",2111631,77,12,63.9,2.6625
"643",2111672,71,13,18.73,0.780416666666667
"644",2111706,320,60,116.805714285714,4.86690476190476
"645",2111722,118,13,200.9,8.37083333333333
"646",2111748,171,27,NA,NA
"647",2111763,391,71,26.1163636363636,1.08818181818182
"648",2111789,90,14,166.66,6.94416666666667
"649",2111805,394,58,32.2257142857143,1.3427380952381
"650",2111904,258,38,48.79,2.03291666666667
"651",2111953,75,10,46.39,1.93291666666667
"652",2112001,372,46,90.5888888888889,3.77453703703704
"653",2112100,448,80,86.7485714285714,3.61452380952381
"654",2112209,7606,1588,143.177169811321,5.96571540880503
"655",2112233,739,114,41.508125,1.72950520833333
"656",2112274,79,14,137.4,5.725
"657",2112308,719,109,47.415,1.975625
"658",2112407,556,114,28.9933333333333,1.20805555555556
"659",2112456,291,63,159.6275,6.65114583333333
"660",2112506,1342,252,55.9942424242424,2.33309343434343
"661",2112605,640,113,12,0.5
"662",2112704,895,177,49.4888888888889,2.06203703703704
"663",2112803,1199,205,118.841,4.95170833333333
"664",2112852,307,59,64.84,2.70166666666667
"665",2112902,873,138,27.1842857142857,1.13267857142857
"666",2113009,800,121,39.6064285714286,1.65026785714286
"667",2114007,1124,152,77.6958333333333,3.23732638888889
"668",2200053,189,54,NA,NA
"669",2200103,161,22,105.75,4.40625
"670",2200202,1279,179,66.9822222222222,2.79092592592593
"671",2200251,131,20,75.006,3.12525
"672",2200277,155,25,39.7633333333333,1.65680555555556
"673",2200301,404,68,29.4008333333333,1.22503472222222
"674",2200400,2097,351,41.238,1.71825
"675",2200459,179,28,22.965,0.956875
"676",2200509,581,106,27.0933333333333,1.12888888888889
"677",2200608,309,42,52.8125,2.20052083333333
"678",2200707,338,46,22.9233333333333,0.955138888888889
"679",2200806,139,25,24.7875,1.0328125
"680",2200905,213,32,19.31,0.804583333333333
"681",2200954,37,5,29.15,1.21458333333333
"682",2201002,146,22,30.36,1.265
"683",2201051,169,17,30.4,1.26666666666667
"684",2201101,321,43,32.26,1.34416666666667
"685",2201150,906,148,29.7277777777778,1.23865740740741
"686",2201176,107,14,43.28,1.80333333333333
"687",2201200,1816,598,23.0107692307692,0.958782051282051
"688",2201309,87,12,12.3866666666667,0.516111111111111
"689",2201408,202,18,49.605,2.066875
"690",2201507,749,94,23.233,0.968041666666667
"691",2201556,133,16,43.17,1.79875
"692",2201572,118,12,69.055,2.87729166666667
"693",2201606,293,33,16.852,0.702166666666667
"694",2201705,228,27,46.4,1.93333333333333
"695",2201739,116,11,61.8,2.575
"696",2201770,165,16,37.38,1.5575
"697",2201804,83,15,23.1825,0.9659375
"698",2201903,2405,363,39.2634375,1.6359765625
"699",2201919,111,27,38.06,1.58583333333333
"700",2201929,96,8,9.25,0.385416666666667
"701",2201945,209,51,85.26,3.5525
"702",2201960,290,34,35.61,1.48375
"703",2201988,66,12,NA,NA
"704",2202000,548,100,22.6691666666667,0.944548611111111
"705",2202026,231,29,161.32,6.72166666666667
"706",2202059,183,30,49.1675,2.04864583333333
"707",2202075,87,10,NA,NA
"708",2202083,616,191,100.471764705882,4.18632352941176
"709",2202091,110,19,11.3,0.470833333333333
"710",2202109,98,10,NA,NA
"711",2202117,118,15,24.63,1.02625
"712",2202133,171,23,30.915,1.288125
"713",2202174,117,22,33.2625,1.3859375
"714",2202208,3075,418,38.6644117647059,1.61101715686275
"715",2202251,63,5,48.82,2.03416666666667
"716",2202307,947,137,31.3711111111111,1.30712962962963
"717",2202406,356,53,38.12,1.58833333333333
"718",2202455,105,26,59.245,2.46854166666667
"719",2202505,308,38,44.709,1.862875
"720",2202539,181,49,27.835,1.15979166666667
"721",2202554,169,45,NA,NA
"722",2202604,952,123,30.1435294117647,1.25598039215686
"723",2202653,142,42,87.385,3.64104166666667
"724",2202703,944,107,53.2493333333333,2.21872222222222
"725",2202711,133,17,91.105,3.79604166666667
"726",2202729,173,23,66.04,2.75166666666667
"727",2202737,81,14,41.8533333333333,1.74388888888889
"728",2202752,286,36,28.0725,1.1696875
"729",2202778,164,11,20.23,0.842916666666667
"730",2202802,153,18,11.935,0.497291666666667
"731",2202851,83,8,44.89,1.87041666666667
"732",2202901,1557,241,NA,NA
"733",2203008,153,19,22.68,0.945
"734",2203107,491,68,31.303,1.30429166666667
"735",2203206,557,92,38.0425,1.58510416666667
"736",2203230,96,20,34.53,1.43875
"737",2203255,106,22,23.97,0.99875
"738",2203271,123,26,NA,NA
"739",2203305,731,97,21.3764705882353,0.890686274509804
"740",2203354,156,19,82.2266666666667,3.42611111111111
"741",2203404,271,50,27.2673333333333,1.13613888888889
"742",2203420,97,9,12.655,0.527291666666667
"743",2203453,304,56,529.854545454545,22.0772727272727
"744",2203503,504,70,66.4157142857143,2.76732142857143
"745",2203602,247,27,55.4533333333333,2.31055555555556
"746",2203701,1860,244,31.1014285714286,1.29589285714286
"747",2203750,90,13,37.065,1.544375
"748",2203800,122,34,1562.35333333333,65.0980555555556
"749",2203859,73,10,46.59,1.94125
"750",2203909,5260,732,29.7647058823529,1.24019607843137
"751",2204006,117,12,42.1,1.75416666666667
"752",2204105,104,12,60.395,2.51645833333333
"753",2204154,82,10,34.955,1.45645833333333
"754",2204204,189,26,22.9344444444444,0.955601851851852
"755",2204303,423,60,53.767,2.24029166666667
"756",2204352,122,22,41.9014285714286,1.74589285714286
"757",2204402,470,81,53.3946153846154,2.22477564102564
"758",2204501,579,90,16.617,0.692375
"759",2204550,121,15,12.0042857142857,0.500178571428571
"760",2204600,87,11,32.73,1.36375
"761",2204659,280,47,62.4816666666667,2.60340277777778
"762",2204709,435,47,24.303,1.012625
"763",2204808,258,41,59.05,2.46041666666667
"764",2204907,115,14,63.0766666666667,2.62819444444444
"765",2205003,268,40,20.0485714285714,0.835357142857143
"766",2205102,429,47,61.13,2.54708333333333
"767",2205151,140,19,36.5866666666667,1.52444444444444
"768",2205201,657,78,33.3684615384615,1.39035256410256
"769",2205250,77,6,NA,NA
"770",2205276,95,11,117.485,4.89520833333333
"771",2205300,158,20,35.46,1.4775
"772",2205359,51,14,35.275,1.46979166666667
"773",2205409,315,41,54.3525,2.2646875
"774",2205458,83,14,97.45,4.06041666666667
"775",2205508,2373,290,40.2033333333333,1.67513888888889
"776",2205516,312,61,58.0866666666667,2.42027777777778
"777",2205524,122,14,NA,NA
"778",2205532,79,14,25.3733333333333,1.05722222222222
"779",2205540,62,11,NA,NA
"780",2205557,251,29,44.36,1.84833333333333
"781",2205565,167,31,46.7,1.94583333333333
"782",2205573,160,23,NA,NA
"783",2205581,143,24,50.75,2.11458333333333
"784",2205599,62,7,39.3,1.6375
"785",2205607,182,21,21.835,0.909791666666667
"786",2205706,993,132,67.3247368421053,2.80519736842105
"787",2205805,896,150,38.8764705882353,1.61985294117647
"788",2205854,118,18,123.65,5.15208333333333
"789",2205904,214,34,52.6314285714286,2.19297619047619
"790",2205953,423,86,14.41375,0.600572916666667
"791",2206001,142,19,45.9966666666667,1.91652777777778
"792",2206050,71,10,NA,NA
"793",2206100,304,53,22.6225,0.942604166666667
"794",2206209,628,93,58.8352631578947,2.45146929824561
"795",2206308,37,9,166.53,6.93875
"796",2206357,106,16,23.19,0.96625
"797",2206407,331,37,22.2283333333333,0.926180555555556
"798",2206506,164,19,12.9766666666667,0.540694444444444
"799",2206605,348,48,1.065,0.044375
"800",2206654,125,24,31.32,1.305
"801",2206670,110,13,NA,NA
"802",2206696,233,45,22.63,0.942916666666667
"803",2206704,230,32,NA,NA
"804",2206720,259,41,21.1622222222222,0.881759259259259
"805",2206753,115,16,1.07,0.0445833333333333
"806",2206803,128,14,130.403333333333,5.43347222222222
"807",2206902,159,22,46.17,1.92375
"808",2206951,82,5,36.755,1.53145833333333
"809",2207009,2264,298,46.8195652173913,1.9508152173913
"810",2207108,56,10,NA,NA
"811",2207207,220,23,20.0366666666667,0.834861111111111
"812",2207306,139,16,61.0033333333333,2.54180555555556
"813",2207355,97,13,1.305,0.054375
"814",2207405,155,24,83.49,3.47875
"815",2207504,337,68,48.1638461538462,2.00682692307692
"816",2207553,48,3,27.9,1.1625
"817",2207603,284,32,132.6825,5.5284375
"818",2207702,10845,1878,121.363396226415,5.05680817610063
"819",2207751,110,26,84.0225,3.5009375
"820",2207777,197,72,72.295,3.01229166666667
"821",2207793,78,11,124.12,5.17166666666667
"822",2207801,996,162,48.16,2.00666666666667
"823",2207850,109,16,NA,NA
"824",2207900,1625,222,34.0277272727273,1.41782196969697
"825",2207934,87,10,39.9625,1.66510416666667
"826",2207959,89,11,NA,NA
"827",2208007,7070,907,71.2111320754717,2.96713050314465
"828",2208106,250,36,126.66,5.2775
"829",2208205,583,80,14.402,0.600083333333333
"830",2208304,1505,220,31.0407407407407,1.29336419753086
"831",2208403,3245,449,75.7854285714286,3.15772619047619
"832",2208502,334,45,22.2714285714286,0.927976190476191
"833",2208551,85,9,1.48,0.0616666666666667
"834",2208601,107,20,23.08,0.961666666666667
"835",2208650,265,37,138.833333333333,5.78472222222222
"836",2208700,253,33,31.05625,1.29401041666667
"837",2208809,679,237,51.238,2.13491666666667
"838",2208858,76,12,21.3966666666667,0.891527777777778
"839",2208874,105,10,NA,NA
"840",2208908,362,54,21.1666666666667,0.881944444444445
"841",2209005,213,20,16.14,0.6725
"842",2209104,201,15,12.58,0.524166666666667
"843",2209153,115,14,NA,NA
"844",2209203,295,51,23.328,0.972
"845",2209302,162,18,60.0175,2.50072916666667
"846",2209351,82,10,31.4933333333333,1.31222222222222
"847",2209377,240,42,NA,NA
"848",2209401,145,12,84.74,3.53083333333333
"849",2209450,32,7,NA,NA
"850",2209500,136,18,76.5766666666667,3.19069444444444
"851",2209559,103,23,40.6275,1.6928125
"852",2209609,92,9,45.12,1.88
"853",2209658,125,12,23.31,0.97125
"854",2209708,202,19,20.595,0.858125
"855",2209757,149,18,46.3433333333333,1.93097222222222
"856",2209807,153,27,32.044,1.33516666666667
"857",2209856,89,12,21.295,0.887291666666667
"858",2209872,153,33,24.9042857142857,1.03767857142857
"859",2209906,172,27,53.25,2.21875
"860",2209955,71,8,63.47,2.64458333333333
"861",2209971,246,26,9.77,0.407083333333333
"862",2210003,1293,183,32.5554166666667,1.35647569444444
"863",2210052,216,40,64.966,2.70691666666667
"864",2210102,136,30,123.94,5.16416666666667
"865",2210201,140,10,24.36,1.015
"866",2210300,169,30,NA,NA
"867",2210359,77,9,112.85,4.70208333333333
"868",2210375,30,4,48.61,2.02541666666667
"869",2210383,71,14,16.46,0.685833333333333
"870",2210391,49,7,117.44,4.89333333333333
"871",2210409,674,75,41.0746666666667,1.71144444444444
"872",2210508,461,95,47.7733333333333,1.99055555555556
"873",2210607,2441,342,28.8524242424242,1.20218434343434
"874",2210623,62,5,70.07,2.91958333333333
"875",2210631,163,30,27.47,1.14458333333333
"876",2210656,247,37,24.05,1.00208333333333
"877",2210706,457,66,58.5322222222222,2.43884259259259
"878",2210805,759,89,47.1471428571429,1.96446428571429
"879",2210904,125,32,20.724,0.8635
"880",2210938,180,26,11.7433333333333,0.489305555555556
"881",2210953,82,10,37.95,1.58125
"882",2210979,110,11,205.02,8.5425
"883",2211001,79338,13597,1501.97854545455,62.5824393939394
"884",2211100,1614,249,61.3072727272727,2.5544696969697
"885",2211209,1958,332,55.8315789473684,2.32631578947368
"886",2211308,1638,184,45.4233333333333,1.89263888888889
"887",2211357,82,10,48.0566666666667,2.00236111111111
"888",2211407,146,15,NA,NA
"889",2211506,49,12,16.17,0.67375
"890",2211605,90,9,NA,NA
"891",2211704,94,11,97.46,4.06083333333333
"892",2300101,221,28,101.8775,4.24489583333333
"893",2300150,731,118,263.236,10.9681666666667
"894",2300200,2180,421,134.0490625,5.58537760416667
"895",2300309,1523,249,71.4304,2.97626666666667
