X,Y,OBJECTID,ETE_CD,ETE_NM,ETE_ACH_CD,ETE_AA_OPERACAO,ETE_DS_STATUS,ETE_DS_INTEGRADO,ETE_DS_TOTAL,ETE_DS_TIPOLOGIA,ETE_NM_CORPORECEPTOR,ETE_QT_POPPROJ,ETE_PC_REMOCAODBO,ETE_PC_REMOCAOP,ETE_PC_REMOCAON,ETE_MUN_CD_IBGE,ETE_NM_REGIAOMETROP,ETE_DS_TIPOLOGRESUMIDA
-48.6575,-27.5682999992253,3358,4216602_ETE_1,ETE Potecas,77975444,0,Ativa,Sim,Não,Reator Anaeróbio + Lagoa Decantação/Facultativa/Maturação/Polimento, ,0,0.86000001,0,0,4216602,RM Florianópolis - SC,RAN
-37.06220449,-10.8625837336503,3359,2804805_ETE_2,ETE Norte - ERQ,77118345,0,Ativa,Sim,Não,Lagoas Facultativas em Série + Lagoa de Maturação, ,0,0.83999997,0,0,2800308,RM Aracaju - SE,LAG
-37.063108,-10.8635149996503,3360,2804805_ETE_2,ETE Norte - ERQ,77118345,0,Ativa,Sim,Não,Lagoas Facultativas em Série + Lagoa de Maturação, ,0,0.81,0,0,2804805,RM Aracaju - SE,LAG
-43.320045208,-15.7734137585058,3361,3135100_ETE_1,ETE Janaúba,76649191,0,Ativa,Sim,Não,Reator Anaeróbio + Lagoa Facultativa +  Lagoa de Maturação, ,0,0.83999997,0,0,3145059, ,RAN
-34.878241982,-7.10534661876806,3362,2507507_ETE_1,EPC ETE Polo de Tratamento do Baixo Roger - Baixo Paraíba,75811622,0,Ativa,Sim (2503209),Não,EPC - Estação de Pré Condicionamento (Peneiramento/Gradeamento/Primário),Emissário submarino,0,0.40000001,0,0,2507507,RM João Pessoa - PB,SIM
-34.878431953,-8.01680831673909,3363,2609600_ETE_4,ETE Peixinhos,7592145,0,Ativa,Sim,Não,Filtro Biológico + Decantação  (TRICKING FILTER SYSTEM), ,0,0.80000001,0,0,2609600,RM Recife - PE,MIS
-34.846871518,-7.9271380167419,3364,2610707_ETE_2,ETE Janga I,7591966,0,Ativa,Sim (2610707),Não,Lodos Ativados de Aeração Prolongada - Valo de Oxidação/Sistema Carrossel + Lagoa de Maturação, ,0,0.89999998,0,0,2609600,RM Recife - PE,LAT
-34.846865436,-7.92730501374191,3365,2610707_ETE_2,ETE Janga I,7591966,0,Ativa,Sim (2609600),Não,Lodos Ativados de Aeração Prolongada - Valo de Oxidação/Sistema Carrossel + Lagoa de Maturação, ,0,0.88,0,0,2610707,RM Recife - PE,LAT
-34.877445074,-8.01697316473908,3366,2609600_ETE_4,ETE Peixinhos,7592145,0,Ativa,Sim,Não,Filtro Biológico + Decantação  (TRICKING FILTER SYSTEM), ,0,0.80000001,0,0,2611606,RM Recife - PE,MIS
-49.185632328,-25.4726635382668,3367,4106902_ETE_1,ETE Atuba Sul,8628941,0,Ativa,Sim (4106902),Não,Reator Anaeróbio + Floculação Quimicamente Assistida + Flotação, ,0,0.89999998,0,0,4119152,RM Curitiba - PR,QBI
