"","cod_municipio_ibge","qtd_abertas","qtd_abertas_Consórcio de Sociedades","qtd_abertas_Cooperativa","qtd_abertas_EIRELI","qtd_abertas_Empresa Pública","qtd_abertas_Empresário Individual","qtd_abertas_Estabelecimento, no Brasil, de Sociedade Estrangeira e Empresas Binacionais","qtd_abertas_Grupo de Sociedades","qtd_abertas_Sociedade Anônima","qtd_abertas_Sociedade de Economia Mista","qtd_abertas_Sociedade em Comandita por Ações","qtd_abertas_Sociedade em Comandita Simples","qtd_abertas_Sociedade em Conta de Participação","qtd_abertas_Sociedade em Nome Coletivo","qtd_abertas_Sociedade Limitada"
"1162","240790",9,0,0,0,0,9,0,0,0,0,0,0,0,0,0
"1163","240800",3353,1,1,30,0,2690,0,0,9,0,0,0,2,0,620
"1164","240810",14634,0,4,132,1,12117,0,0,30,1,0,0,31,0,2318
"1165","240820",257,0,1,0,0,236,0,0,0,0,0,0,0,0,20
"1166","240830",251,0,0,3,0,227,0,0,0,0,0,0,0,0,21
"1167","240840",12,0,0,0,0,7,0,0,0,0,0,0,0,0,5
"1168","240850",26,0,0,0,0,24,0,0,0,0,0,0,0,0,2
"1169","240860",4,0,0,0,0,3,0,0,0,0,0,0,0,0,1
"1170","240870",11,0,0,0,0,9,0,0,0,0,0,0,0,0,2
"1171","240880",26,0,0,0,0,21,0,0,0,0,0,0,0,0,5
"1172","240890",335,0,0,1,0,308,0,0,0,0,0,0,0,0,26
"1173","240895",43,0,0,0,0,38,0,0,0,0,0,0,0,0,5
"1174","240910",67,0,0,1,0,57,0,0,0,0,0,0,0,0,9
"1175","240920",8,0,0,0,0,8,0,0,0,0,0,0,0,0,0
"1176","240930",67,0,0,0,0,53,0,0,0,0,0,0,0,0,14
"1177","240933",22,0,0,0,0,22,0,0,0,0,0,0,0,0,0
"1178","240940",378,0,0,3,1,317,0,0,3,0,0,0,0,0,54
"1179","240950",26,0,0,0,0,18,0,0,4,0,0,0,0,0,4
"1180","240960",15,0,0,0,0,11,0,0,1,0,0,0,0,0,3
"1181","240970",38,0,0,0,0,30,0,0,3,0,0,0,0,0,5
"1182","240980",56,0,0,0,0,51,0,0,0,0,0,0,0,0,5
"1183","240990",152,0,0,1,0,139,0,0,2,0,0,0,0,0,10
"1184","241000",8,0,0,0,0,7,0,0,0,0,0,0,0,0,1
"1185","241010",64,0,0,0,0,62,0,0,0,0,0,0,0,0,2
"1186","241020",55,0,0,0,0,53,0,0,0,0,0,0,0,0,2
"1187","241025",38,0,0,0,0,37,0,0,0,0,0,0,0,0,1
"1188","241030",51,0,0,0,0,44,0,0,0,0,0,0,0,0,7
"1189","241040",37,0,0,0,0,31,0,0,0,0,0,0,0,0,6
"1190","241050",25,0,0,0,0,22,0,0,0,0,0,0,0,0,3
"1191","241060",9,0,0,0,0,7,0,0,0,0,0,0,0,0,2
"1192","241070",11,0,0,0,0,11,0,0,0,0,0,0,0,0,0
"1193","241080",14,0,0,0,0,11,0,0,0,0,0,0,0,0,3
"1194","241090",50,0,0,0,0,46,0,0,3,0,0,0,0,0,1
"1195","241100",16,0,0,0,0,14,0,0,0,0,0,0,0,0,2
"1196","241105",58,0,0,0,0,47,0,0,0,0,0,0,0,0,11
"1197","241110",11,0,0,0,0,9,0,0,1,0,0,0,0,0,1
"1198","241120",370,0,0,8,0,318,0,0,2,0,0,0,0,0,42
"1199","241140",75,0,0,0,0,61,0,0,1,0,0,0,0,0,13
"1200","241142",23,0,0,0,0,20,0,0,0,0,0,0,0,0,3
"1201","241150",133,0,0,0,0,122,0,0,0,0,0,0,0,0,11
"1202","241160",25,0,0,0,0,21,0,0,4,0,0,0,0,0,0
