ibge;municipio;Masculino;Feminino;Total;perc_masc;perc_feminino
260005;ABREU E LIMA;47582;53116;100698;0,472521798;0,527478202
240325;PARNAMIRIM;128837;143653;272490;0,472813681;0,527186319
210120;BACABAL;49691;55403;105094;0,472824329;0,527175671
250180;BAYEUX;46115;51404;97519;0,472882208;0,527117792
230900;MUCAMBO;6886;7675;14561;0,472907081;0,527092919
211120;SAO JOSE DE RIBAMAR;85296;95049;180345;0,47296016;0,52703984
270030;ARAPIRACA;110825;123484;234309;0,472986526;0,527013474
292230;MURITIBA;13916;15504;29420;0,473011557;0,526988443
292880;SANTO ESTEVAO;25392;28274;53666;0,473148735;0,526851265
251274;RIACHAO;1727;1923;3650;0,473150685;0,526849315
220800;PICOS;37203;41424;78627;0,473158075;0,526841925
290650;CANDEIAS;41555;46265;87820;0,473183785;0,526816215
520060;ALTO PARAISO DE GOIAS;3668;4083;7751;0,473229261;0,526770739
314470;NOVA ERA;8293;9231;17524;0,473236704;0,526763296
150080;ANANINDEUA;255781;284629;540410;0,473309154;0,526690846
280520;PINHAO;3162;3516;6678;0,473495058;0,526504942
220220;CAMPO MAIOR;22237;24713;46950;0,473631523;0,526368477
330490;SAO GONCALO;520403;577954;1098357;0,473801323;0,526198677
431643;SALDANHA MARINHO;1230;1366;2596;0,473805855;0,526194145
230730;JUAZEIRO DO NORTE;131857;146407;278264;0,473855763;0,526144237
352960;MERIDIANO;1807;2006;3813;0,473905062;0,526094938
250120;AREIAL;3343;3711;7054;0,473915509;0,526084491
431710;SANT'ANA DO LIVRAMENTO;35853;39794;75647;0,473951379;0,526048621
260500;CUPIRA;11488;12749;24237;0,473986054;0,526013946
411570;MATINHOS;16925;18780;35705;0,474023246;0,525976754
220780;PAULISTANA;9758;10825;20583;0,474080552;0,525919448
291860;JUSSIAPE;2739;3038;5777;0,474121516;0,525878484
330390;PETROPOLIS;145659;161485;307144;0,47423684;0,52576316
312370;ENGENHEIRO CALDAS;5346;5922;11268;0,474440895;0,525559105
330510;SAO JOAO DE MERITI;224594;248791;473385;0,474442578;0,525557422
251080;PATOS;51608;57158;108766;0,474486512;0,525513488
230420;CRATO;63543;70370;133913;0,47450957;0,52549043
330150;CORDEIRO;10515;11637;22152;0,474674973;0,525325027
312770;GOVERNADOR VALADARES;133946;148218;282164;0,474709743;0,525290257
270240;DELMIRO GOUVEIA;24925;27576;52501;0,474752862;0,525247138
355030;SAO PAULO;5885375;6510997;12396372;0,474765923;0,525234077
330620;VASSOURAS;17694;19568;37262;0,474853738;0,525146262
411721;NOVA SANTA BARBARA;2044;2260;4304;0,474907063;0,525092937
251600;SOLANEA;12372;13679;26051;0,474914591;0,525085409
420200;BALNEARIO CAMBORIU;70881;78346;149227;0,47498777;0,52501223
270510;MATRIZ DE CAMARAGIBE;11698;12929;24627;0,475007106;0,524992894
240310;CURRAIS NOVOS;21391;23631;45022;0,475123273;0,524876727
260410;CARUARU;175490;193853;369343;0,475140994;0,524859006
410690;CURITIBA;933079;1030647;1963726;0,47515743;0,52484257
431690;SANTA MARIA;135527;149632;285159;0,475268184;0,524731816
280610;ROSARIO DO CATETE;5304;5854;11158;0,475354006;0,524645994
260880;LAJEDO;19435;21448;40883;0,475380965;0,524619035
522100;TAQUARAL DE GOIAS;1667;1839;3506;0,475470622;0,524529378
317210;VOLTA GRANDE;2506;2764;5270;0,475521822;0,524478178
230480;GRANJEIRO;2275;2509;4784;0,475543478;0,524456522
292400;PAULO AFONSO;56695;62518;119213;0,475577328;0,524422672
330187;IGUABA GRANDE;13956;15388;29344;0,475599782;0,524400218
291750;JACOBINA;38410;42339;80749;0,475671525;0,524328475
270690;PILAR;16796;18514;35310;0,475672614;0,524327386
432160;TRAMANDAI;25452;28055;53507;0,47567608;0,52432392
240600;JOSE DA PENHA;2826;3115;5941;0,475677495;0,524322505
220010;AGRICOLANDIA;2437;2686;5123;0,475697833;0,524302167
310560;BARBACENA;66156;72905;139061;0,475733671;0,524266329
270570;OLHO D'AGUA DAS FLORES;10321;11369;21690;0,475841402;0,524158598
330630;VOLTA REDONDA;130858;144067;274925;0,475977085;0,524022915
430470;CARAZINHO;29713;32700;62413;0,47607069;0,52392931
270620;PALESTINA;2410;2651;5061;0,476190476;0,523809524
330340;NOVA FRIBURGO;91269;100395;191664;0,476192712;0,523807288
251580;SERRA REDONDA;3334;3667;7001;0,476217683;0,523782317
313620;JOAO MONLEVADE;38537;42366;80903;0,476335859;0,523664141
430610;CRUZ ALTA;28372;31189;59561;0,476351975;0,523648025
330580;TERESOPOLIS;88516;97304;185820;0,47635346;0,52364654
290490;CACHOEIRA;16035;17624;33659;0,476395615;0,523604385
520870;GOIANIA;741228;814398;1555626;0,476482136;0,523517864
261640;VITORIA DE SANTO ANTAO;66898;73491;140389;0,476518816;0,523481184
316750;SIMAO PEREIRA;1249;1372;2621;0,476535673;0,523464327
293330;VITORIA DA CONQUISTA;163796;179847;343643;0,476645821;0,523354179
220995;SAO JOAO DA VARJOTA;2315;2541;4856;0,476729819;0,523270181
410830;FOZ DO IGUACU;122988;134983;257971;0,476751263;0,523248737
291460;IRECE;35305;38745;74050;0,476772451;0,523227549
312250;DOM CAVATI;2396;2629;5025;0,47681592;0,52318408
260010;AFOGADOS DA INGAZEIRA;17904;19642;37546;0,476855058;0,523144942
293170;TERRA NOVA;6208;6810;13018;0,476878169;0,523121831
330600;TRES RIOS;39330;43138;82468;0,476912257;0,523087743
230550;IGUATU;49424;54209;103633;0,476913724;0,523086276
260190;BEZERROS;29075;31885;60960;0,4769521;0,5230479
431033;IMBE;11315;12406;23721;0,477003499;0,522996501
220770;PARNAIBA;73395;80468;153863;0,477015267;0,522984733
292670;RIO DE CONTAS;6144;6734;12878;0,477092716;0,522907284
350060;AGUAS DE SAO PEDRO;1712;1876;3588;0,477146042;0,522853958
290830;CONCEICAO DO ALMEIDA;8153;8934;17087;0,477146369;0,522853631
291020;DOM MACEDO COSTA;1943;2129;4072;0,4771611;0,5228389
355280;TABOAO DA SERRA;141988;155540;297528;0,477225673;0,522774327
220050;AMARANTE;8404;9205;17609;0,477255949;0,522744051
410240;BANDEIRANTES;14826;16235;31061;0,477318824;0,522681176
290730;CASTRO ALVES;12587;13782;26369;0,477340817;0,522659183
352780;LUPERCIO;2200;2408;4608;0,477430556;0,522569444
210380;DOM PEDRO;11170;12223;23393;0,477493267;0,522506733
291800;JEQUIE;74624;81653;156277;0,477511086;0,522488914
352210;ITANHAEM;49833;54518;104351;0,477551724;0,522448276
210675;MIRANDA DO NORTE;13907;15214;29121;0,47755915;0,52244085
292975;SAUBARA;5809;6354;12163;0,477595988;0,522404012
310690;BICAS;6979;7633;14612;0,477621133;0,522378867
251365;JOCA CLAUDINO;1261;1379;2640;0,477651515;0,522348485
293140;TEODORO SAMPAIO;3485;3811;7296;0,477658991;0,522341009
315390;RAPOSOS;7883;8618;16501;0,477728623;0,522271377
290800;COARACI;7706;8422;16128;0,477802579;0,522197421
412635;SERRANOPOLIS DO IGUACU;2131;2329;4460;0,477802691;0,522197309
261450;SURUBIM;31628;34564;66192;0,477822093;0,522177907
330030;BARRA DO PIRAI;48332;52807;101139;0,477876981;0,522123019
292920;SAO FRANCISCO DO CONDE;19434;21230;40664;0,477916585;0,522083415
250355;CACIMBAS;3453;3772;7225;0,477923875;0,522076125
260680;IGARASSU;57208;62482;119690;0,477968084;0,522031916
330350;NOVA IGUACU;394511;430877;825388;0,477970361;0,522029639
350250;APARECIDA;17309;18902;36211;0,478003921;0,521996079
311205;CANTAGALO;2187;2388;4575;0,478032787;0,521967213
251370;SANTA RITA;66013;72080;138093;0,47803292;0,52196708
354100;PRAIA GRANDE;160846;175608;336454;0,47806238;0,52193762
220140;BARRO DURO;3357;3665;7022;0,478068926;0,521931074
260620;GOIANA;38411;41934;80345;0,478075798;0,521924202
315670;SABARA;65916;71961;137877;0,478078287;0,521921713
431410;PASSO FUNDO;98537;107566;206103;0,478095904;0,521904096
270020;ANADIA;8371;9136;17507;0,478151597;0,521848403
290110;AMELIA RODRIGUES;11954;13043;24997;0,478217386;0,521782614
260340;CALUMBI;2747;2997;5744;0,478238162;0,521761838
260170;BELO JARDIM;36792;40138;76930;0,478252957;0,521747043
