codigo_municipio_ibge,municipio,mes_referencia,valor_medio_recebido_familia
120034,MANOEL URBANO,07/2022,46308
120035,MARECHAL THAUMATURGO,07/2022,45868
120035,MARECHAL THAUMATURGO,10/2022,65111
120035,MARECHAL THAUMATURGO,11/2022,64630
120035,MARECHAL THAUMATURGO,06/2022,33782
120035,MARECHAL THAUMATURGO,04/2022,34547
120035,MARECHAL THAUMATURGO,05/2022,33568
120035,MARECHAL THAUMATURGO,08/2022,65121
120035,MARECHAL THAUMATURGO,12/2022,64586
120035,MARECHAL THAUMATURGO,09/2022,64847
120035,MARECHAL THAUMATURGO,01/2022,33143
120035,MARECHAL THAUMATURGO,02/2022,33791
120035,MARECHAL THAUMATURGO,03/2022,34476
120038,PLÁCIDO DE CASTRO,05/2022,22848
120038,PLÁCIDO DE CASTRO,02/2022,23399
120038,PLÁCIDO DE CASTRO,08/2022,61003
120038,PLÁCIDO DE CASTRO,07/2022,41076
120038,PLÁCIDO DE CASTRO,09/2022,60972
120038,PLÁCIDO DE CASTRO,04/2022,23060
120038,PLÁCIDO DE CASTRO,12/2022,60869
120038,PLÁCIDO DE CASTRO,01/2022,22334
120038,PLÁCIDO DE CASTRO,11/2022,60968
120038,PLÁCIDO DE CASTRO,03/2022,23295
120038,PLÁCIDO DE CASTRO,06/2022,22290
120038,PLÁCIDO DE CASTRO,10/2022,61079
120039,PORTO WALTER,03/2022,38763
120039,PORTO WALTER,11/2022,65617
120039,PORTO WALTER,06/2022,37522
120039,PORTO WALTER,10/2022,65750
120039,PORTO WALTER,07/2022,46729
120039,PORTO WALTER,01/2022,37456
120039,PORTO WALTER,05/2022,37798
120039,PORTO WALTER,04/2022,38785
120039,PORTO WALTER,09/2022,65987
120039,PORTO WALTER,12/2022,65539
120039,PORTO WALTER,08/2022,65954
120039,PORTO WALTER,02/2022,38350
120040,RIO BRANCO,08/2022,61276
120040,RIO BRANCO,01/2022,25115
120040,RIO BRANCO,09/2022,61177
120040,RIO BRANCO,05/2022,24813
120040,RIO BRANCO,12/2022,61050
120040,RIO BRANCO,02/2022,25840
120040,RIO BRANCO,04/2022,25283
120040,RIO BRANCO,10/2022,61157
120040,RIO BRANCO,06/2022,24461
120040,RIO BRANCO,11/2022,61089
120040,RIO BRANCO,03/2022,25318
120040,RIO BRANCO,07/2022,41515
120042,RODRIGUES ALVES,07/2022,44174
120042,RODRIGUES ALVES,01/2022,31226
120042,RODRIGUES ALVES,10/2022,65277
120042,RODRIGUES ALVES,04/2022,32761
120042,RODRIGUES ALVES,12/2022,63348
120042,RODRIGUES ALVES,05/2022,31610
120042,RODRIGUES ALVES,02/2022,31490
120042,RODRIGUES ALVES,09/2022,63498
120042,RODRIGUES ALVES,08/2022,63477
120042,RODRIGUES ALVES,03/2022,32676
120042,RODRIGUES ALVES,06/2022,31562
120042,RODRIGUES ALVES,11/2022,63430
120043,SANTA ROSA DO PURUS,11/2022,70010
120043,SANTA ROSA DO PURUS,06/2022,42885
120043,SANTA ROSA DO PURUS,10/2022,69766
120043,SANTA ROSA DO PURUS,03/2022,43426
120043,SANTA ROSA DO PURUS,07/2022,50655
120043,SANTA ROSA DO PURUS,05/2022,42500
120043,SANTA ROSA DO PURUS,09/2022,70018
120043,SANTA ROSA DO PURUS,08/2022,70321
120043,SANTA ROSA DO PURUS,01/2022,41511
120043,SANTA ROSA DO PURUS,12/2022,69795
120043,SANTA ROSA DO PURUS,02/2022,43462
120043,SANTA ROSA DO PURUS,04/2022,42780
120045,SENADOR GUIOMARD,04/2022,25922
120045,SENADOR GUIOMARD,02/2022,25890
120045,SENADOR GUIOMARD,08/2022,61636
120045,SENADOR GUIOMARD,01/2022,25088
120045,SENADOR GUIOMARD,07/2022,41865
120045,SENADOR GUIOMARD,05/2022,25647
120045,SENADOR GUIOMARD,12/2022,61378
120045,SENADOR GUIOMARD,09/2022,61565
120045,SENADOR GUIOMARD,06/2022,25427
120045,SENADOR GUIOMARD,11/2022,61452
120045,SENADOR GUIOMARD,10/2022,61553
120045,SENADOR GUIOMARD,03/2022,25984
120050,SENA MADUREIRA,03/2022,32801
120050,SENA MADUREIRA,11/2022,63052
120050,SENA MADUREIRA,10/2022,63101
120050,SENA MADUREIRA,06/2022,31933
120050,SENA MADUREIRA,12/2022,62930
120050,SENA MADUREIRA,08/2022,63183
120050,SENA MADUREIRA,02/2022,33330
120050,SENA MADUREIRA,05/2022,32152
120050,SENA MADUREIRA,01/2022,32489
120050,SENA MADUREIRA,04/2022,32725
120050,SENA MADUREIRA,09/2022,63076
120050,SENA MADUREIRA,07/2022,43692
120060,TARAUACÁ,04/2022,39092
120060,TARAUACÁ,09/2022,66510
