codigo_municipio_ibge,municipio,mes_referencia,valor_medio_recebido_familia
520130,ANICUNS,04/2022,17076
520130,ANICUNS,02/2022,16987
520130,ANICUNS,03/2022,16951
520130,ANICUNS,08/2022,60089
520130,ANICUNS,12/2022,60449
520130,ANICUNS,01/2022,16533
520130,ANICUNS,10/2022,60153
520130,ANICUNS,06/2022,16299
520130,ANICUNS,11/2022,60131
520140,APARECIDA DE GOIÂNIA,06/2022,16871
520140,APARECIDA DE GOIÂNIA,01/2022,16955
520140,APARECIDA DE GOIÂNIA,11/2022,60134
520140,APARECIDA DE GOIÂNIA,03/2022,17083
520140,APARECIDA DE GOIÂNIA,10/2022,60195
520140,APARECIDA DE GOIÂNIA,12/2022,60129
520140,APARECIDA DE GOIÂNIA,08/2022,60155
520140,APARECIDA DE GOIÂNIA,09/2022,60151
520140,APARECIDA DE GOIÂNIA,07/2022,40164
520140,APARECIDA DE GOIÂNIA,05/2022,17018
520140,APARECIDA DE GOIÂNIA,02/2022,16994
520140,APARECIDA DE GOIÂNIA,04/2022,16991
520145,APARECIDA DO RIO DOCE,02/2022,20160
520145,APARECIDA DO RIO DOCE,04/2022,19723
520145,APARECIDA DO RIO DOCE,08/2022,60311
520145,APARECIDA DO RIO DOCE,06/2022,18766
520145,APARECIDA DO RIO DOCE,11/2022,60274
520145,APARECIDA DO RIO DOCE,10/2022,60654
520145,APARECIDA DO RIO DOCE,03/2022,20002
520145,APARECIDA DO RIO DOCE,01/2022,19551
520145,APARECIDA DO RIO DOCE,07/2022,40200
520145,APARECIDA DO RIO DOCE,05/2022,19323
520145,APARECIDA DO RIO DOCE,12/2022,60268
520145,APARECIDA DO RIO DOCE,09/2022,60312
520150,APORÉ,07/2022,40337
520150,APORÉ,09/2022,60351
520150,APORÉ,03/2022,21276
520150,APORÉ,05/2022,21213
520150,APORÉ,04/2022,21900
520150,APORÉ,02/2022,21425
520150,APORÉ,01/2022,20859
520150,APORÉ,06/2022,21104
520150,APORÉ,08/2022,60286
520150,APORÉ,12/2022,60379
520150,APORÉ,11/2022,60380
520150,APORÉ,10/2022,60621
520160,ARAÇU,11/2022,60271
520160,ARAÇU,10/2022,60399
520160,ARAÇU,01/2022,16987
520160,ARAÇU,03/2022,17392
520160,ARAÇU,06/2022,16541
520160,ARAÇU,08/2022,60337
520160,ARAÇU,12/2022,60256
520160,ARAÇU,07/2022,40307
520160,ARAÇU,02/2022,17204
520160,ARAÇU,09/2022,60296
520160,ARAÇU,05/2022,17121
520160,ARAÇU,04/2022,17198
520170,ARAGARÇAS,02/2022,21858
520170,ARAGARÇAS,04/2022,22094
520170,ARAGARÇAS,12/2022,60506
520170,ARAGARÇAS,03/2022,22031
520170,ARAGARÇAS,11/2022,60483
520170,ARAGARÇAS,08/2022,60610
520170,ARAGARÇAS,10/2022,60527
520170,ARAGARÇAS,01/2022,21052
520170,ARAGARÇAS,06/2022,21668
520170,ARAGARÇAS,09/2022,60554
520170,ARAGARÇAS,05/2022,21877
520170,ARAGARÇAS,07/2022,40723
520180,ARAGOIÂNIA,07/2022,41021
520180,ARAGOIÂNIA,09/2022,60879
520180,ARAGOIÂNIA,05/2022,23392
520180,ARAGOIÂNIA,04/2022,23331
520180,ARAGOIÂNIA,02/2022,22794
520180,ARAGOIÂNIA,06/2022,23096
520180,ARAGOIÂNIA,01/2022,22105
520180,ARAGOIÂNIA,11/2022,60855
520180,ARAGOIÂNIA,08/2022,60867
520180,ARAGOIÂNIA,10/2022,60843
520180,ARAGOIÂNIA,03/2022,23283
520180,ARAGOIÂNIA,12/2022,60846
520215,ARAGUAPAZ,10/2022,60367
520215,ARAGUAPAZ,11/2022,60332
520215,ARAGUAPAZ,01/2022,18631
520215,ARAGUAPAZ,06/2022,19246
520215,ARAGUAPAZ,03/2022,19254
520215,ARAGUAPAZ,08/2022,60359
520215,ARAGUAPAZ,12/2022,60306
520215,ARAGUAPAZ,09/2022,60335
520215,ARAGUAPAZ,07/2022,40400
520215,ARAGUAPAZ,05/2022,20101
520215,ARAGUAPAZ,04/2022,19391
520215,ARAGUAPAZ,02/2022,19129
520235,ARENÓPOLIS,02/2022,19989
520235,ARENÓPOLIS,04/2022,20031
520235,ARENÓPOLIS,03/2022,20383
520235,ARENÓPOLIS,10/2022,60321
520235,ARENÓPOLIS,12/2022,60171
520235,ARENÓPOLIS,08/2022,60326
520235,ARENÓPOLIS,01/2022,18950
520235,ARENÓPOLIS,11/2022,60309
520235,ARENÓPOLIS,06/2022,19869
520235,ARENÓPOLIS,09/2022,60310
520235,ARENÓPOLIS,05/2022,20244
520235,ARENÓPOLIS,07/2022,40285
520250,ARUANÃ,09/2022,60179
520250,ARUANÃ,05/2022,17768
520250,ARUANÃ,07/2022,40257
520250,ARUANÃ,02/2022,17271
520250,ARUANÃ,04/2022,17839
520250,ARUANÃ,03/2022,17817
520250,ARUANÃ,06/2022,17719
520250,ARUANÃ,11/2022,60187
520250,ARUANÃ,12/2022,60130
520250,ARUANÃ,10/2022,60507
520250,ARUANÃ,08/2022,60229
520250,ARUANÃ,01/2022,17319
520260,AURILÂNDIA,06/2022,16454
520260,AURILÂNDIA,01/2022,16423
520260,AURILÂNDIA,03/2022,17055
520260,AURILÂNDIA,08/2022,60106
520260,AURILÂNDIA,11/2022,60086
520260,AURILÂNDIA,10/2022,60087
520260,AURILÂNDIA,12/2022,60088
520260,AURILÂNDIA,05/2022,16683
520260,AURILÂNDIA,07/2022,40089
520260,AURILÂNDIA,09/2022,60088
520260,AURILÂNDIA,02/2022,16660
520260,AURILÂNDIA,04/2022,16695
520280,AVELINÓPOLIS,02/2022,17887
520280,AVELINÓPOLIS,04/2022,18109
520280,AVELINÓPOLIS,03/2022,18076
520280,AVELINÓPOLIS,12/2022,60160
520280,AVELINÓPOLIS,10/2022,60200
520280,AVELINÓPOLIS,08/2022,60199
520280,AVELINÓPOLIS,06/2022,17915
520280,AVELINÓPOLIS,01/2022,17288
520280,AVELINÓPOLIS,11/2022,60172
520280,AVELINÓPOLIS,09/2022,60213
520280,AVELINÓPOLIS,07/2022,40180
520280,AVELINÓPOLIS,05/2022,18257
520310,BALIZA,09/2022,60033
520310,BALIZA,11/2022,60664
520310,BALIZA,07/2022,40022
520310,BALIZA,05/2022,16072
520310,BALIZA,02/2022,16544
520310,BALIZA,04/2022,16201
520310,BALIZA,03/2022,16591
520310,BALIZA,12/2022,60017
520310,BALIZA,10/2022,60019
520310,BALIZA,08/2022,60036
520310,BALIZA,06/2022,15398
520310,BALIZA,01/2022,16382
520320,BARRO ALTO,10/2022,60656
520320,BARRO ALTO,12/2022,60530
520320,BARRO ALTO,01/2022,22121
520320,BARRO ALTO,06/2022,22127
520320,BARRO ALTO,03/2022,23360
520320,BARRO ALTO,08/2022,60662
520320,BARRO ALTO,11/2022,60561
520320,BARRO ALTO,07/2022,40860
520320,BARRO ALTO,05/2022,23079
520320,BARRO ALTO,09/2022,60645
520320,BARRO ALTO,04/2022,23391
520320,BARRO ALTO,02/2022,22787
520330,BELA VISTA DE GOIÁS,04/2022,20957
520330,BELA VISTA DE GOIÁS,02/2022,20951
520330,BELA VISTA DE GOIÁS,01/2022,20437
520330,BELA VISTA DE GOIÁS,06/2022,20503
520330,BELA VISTA DE GOIÁS,12/2022,60443
520330,BELA VISTA DE GOIÁS,08/2022,60562
520330,BELA VISTA DE GOIÁS,03/2022,21046
520330,BELA VISTA DE GOIÁS,10/2022,60571
520330,BELA VISTA DE GOIÁS,05/2022,20877
520330,BELA VISTA DE GOIÁS,11/2022,60706
520330,BELA VISTA DE GOIÁS,09/2022,60529
520330,BELA VISTA DE GOIÁS,07/2022,40661
520340,BOM JARDIM DE GOIÁS,05/2022,18589
520340,BOM JARDIM DE GOIÁS,07/2022,40217
520340,BOM JARDIM DE GOIÁS,09/2022,60150
520340,BOM JARDIM DE GOIÁS,11/2022,60163
520340,BOM JARDIM DE GOIÁS,02/2022,19322
520340,BOM JARDIM DE GOIÁS,04/2022,18834
520340,BOM JARDIM DE GOIÁS,10/2022,60192
520340,BOM JARDIM DE GOIÁS,01/2022,18787
520340,BOM JARDIM DE GOIÁS,12/2022,60128
520340,BOM JARDIM DE GOIÁS,06/2022,18144
520340,BOM JARDIM DE GOIÁS,08/2022,60210
520340,BOM JARDIM DE GOIÁS,03/2022,19240
520350,BOM JESUS DE GOIÁS,10/2022,60072
520350,BOM JESUS DE GOIÁS,06/2022,17160
520350,BOM JESUS DE GOIÁS,08/2022,60067
520350,BOM JESUS DE GOIÁS,12/2022,60245
520350,BOM JESUS DE GOIÁS,07/2022,40072
520350,BOM JESUS DE GOIÁS,11/2022,60042
520350,BOM JESUS DE GOIÁS,03/2022,18054
520350,BOM JESUS DE GOIÁS,09/2022,60052
520350,BOM JESUS DE GOIÁS,05/2022,17748
520350,BOM JESUS DE GOIÁS,04/2022,18002
520350,BOM JESUS DE GOIÁS,02/2022,17995
520350,BOM JESUS DE GOIÁS,01/2022,17831
520355,BONFINÓPOLIS,04/2022,17465
520355,BONFINÓPOLIS,02/2022,17017
520355,BONFINÓPOLIS,08/2022,60064
520355,BONFINÓPOLIS,10/2022,60112
520355,BONFINÓPOLIS,01/2022,17036
520355,BONFINÓPOLIS,12/2022,60087
520355,BONFINÓPOLIS,06/2022,17396
520355,BONFINÓPOLIS,05/2022,17714
520355,BONFINÓPOLIS,03/2022,17645
520355,BONFINÓPOLIS,09/2022,60063
520355,BONFINÓPOLIS,07/2022,40132
520355,BONFINÓPOLIS,11/2022,60099
520357,BONÓPOLIS,09/2022,60862
520357,BONÓPOLIS,05/2022,24953
520357,BONÓPOLIS,11/2022,60850
520357,BONÓPOLIS,03/2022,24677
520357,BONÓPOLIS,07/2022,41033
520357,BONÓPOLIS,04/2022,24845
520357,BONÓPOLIS,02/2022,25010
520357,BONÓPOLIS,06/2022,24824
520357,BONÓPOLIS,08/2022,60946
520357,BONÓPOLIS,12/2022,60799
520357,BONÓPOLIS,01/2022,24126
520357,BONÓPOLIS,10/2022,60830
520360,BRAZABRANTES,10/2022,60390
520360,BRAZABRANTES,12/2022,60411
520360,BRAZABRANTES,01/2022,18823
520360,BRAZABRANTES,06/2022,19668
520360,BRAZABRANTES,08/2022,60451
520360,BRAZABRANTES,07/2022,40583
520360,BRAZABRANTES,11/2022,60397
520360,BRAZABRANTES,03/2022,19196
520360,BRAZABRANTES,09/2022,60452
520360,BRAZABRANTES,05/2022,20009
520360,BRAZABRANTES,02/2022,19149
520360,BRAZABRANTES,04/2022,19307
520380,BRITÂNIA,04/2022,20009
520380,BRITÂNIA,01/2022,19721
520380,BRITÂNIA,02/2022,20192
520380,BRITÂNIA,06/2022,19465
520380,BRITÂNIA,08/2022,60340
520380,BRITÂNIA,10/2022,60446
520380,BRITÂNIA,12/2022,60297
520380,BRITÂNIA,03/2022,20200
520380,BRITÂNIA,11/2022,60313
520380,BRITÂNIA,07/2022,40462
520380,BRITÂNIA,09/2022,60329
520380,BRITÂNIA,05/2022,19973
520390,BURITI ALEGRE,12/2022,60094
520390,BURITI ALEGRE,09/2022,60065
520390,BURITI ALEGRE,07/2022,40081
520390,BURITI ALEGRE,05/2022,18133
520390,BURITI ALEGRE,11/2022,60094
520390,BURITI ALEGRE,03/2022,18042
520390,BURITI ALEGRE,02/2022,17595
520390,BURITI ALEGRE,04/2022,17997
520390,BURITI ALEGRE,06/2022,17693
520390,BURITI ALEGRE,01/2022,17428
520390,BURITI ALEGRE,08/2022,60062
520390,BURITI ALEGRE,10/2022,60065
520393,BURITI DE GOIÁS,01/2022,17202
520393,BURITI DE GOIÁS,08/2022,60191
520393,BURITI DE GOIÁS,10/2022,60134
520393,BURITI DE GOIÁS,06/2022,17385
520393,BURITI DE GOIÁS,11/2022,60129
520393,BURITI DE GOIÁS,12/2022,60145
520393,BURITI DE GOIÁS,03/2022,17556
520393,BURITI DE GOIÁS,05/2022,17703
520393,BURITI DE GOIÁS,09/2022,60171
520393,BURITI DE GOIÁS,07/2022,40201
520393,BURITI DE GOIÁS,04/2022,17825
520393,BURITI DE GOIÁS,02/2022,17525
520396,BURITINÓPOLIS,02/2022,18821
520396,BURITINÓPOLIS,04/2022,18585
520396,BURITINÓPOLIS,08/2022,60097
520396,BURITINÓPOLIS,10/2022,60146
520396,BURITINÓPOLIS,06/2022,17546
520396,BURITINÓPOLIS,01/2022,18257
520396,BURITINÓPOLIS,11/2022,60079
520396,BURITINÓPOLIS,09/2022,60114
520396,BURITINÓPOLIS,03/2022,18549
520396,BURITINÓPOLIS,07/2022,40105
520396,BURITINÓPOLIS,12/2022,60086
520396,BURITINÓPOLIS,05/2022,18069
520400,CABECEIRAS,07/2022,40836
520400,CABECEIRAS,05/2022,24580
520400,CABECEIRAS,03/2022,24663
520400,CABECEIRAS,12/2022,60858
520400,CABECEIRAS,11/2022,60750
520400,CABECEIRAS,09/2022,60775
520400,CABECEIRAS,02/2022,24790
520400,CABECEIRAS,04/2022,24567
520400,CABECEIRAS,01/2022,23445
520400,CABECEIRAS,10/2022,60775
520400,CABECEIRAS,08/2022,60766
520400,CABECEIRAS,06/2022,23970
520410,CACHOEIRA ALTA,01/2022,19874
520410,CACHOEIRA ALTA,06/2022,20190
520410,CACHOEIRA ALTA,10/2022,60334
520410,CACHOEIRA ALTA,08/2022,60332
520410,CACHOEIRA ALTA,12/2022,60302
520410,CACHOEIRA ALTA,05/2022,20602
520410,CACHOEIRA ALTA,11/2022,60440
520410,CACHOEIRA ALTA,09/2022,60337
520410,CACHOEIRA ALTA,07/2022,40334
520410,CACHOEIRA ALTA,03/2022,20659
520410,CACHOEIRA ALTA,02/2022,20456
520410,CACHOEIRA ALTA,04/2022,20722
520420,CACHOEIRA DE GOIÁS,04/2022,20484
520420,CACHOEIRA DE GOIÁS,02/2022,20867
520420,CACHOEIRA DE GOIÁS,08/2022,60568
520420,CACHOEIRA DE GOIÁS,01/2022,19912
520420,CACHOEIRA DE GOIÁS,06/2022,20356
520420,CACHOEIRA DE GOIÁS,10/2022,60543
520420,CACHOEIRA DE GOIÁS,11/2022,60577
520420,CACHOEIRA DE GOIÁS,07/2022,40558
520420,CACHOEIRA DE GOIÁS,03/2022,20773
520420,CACHOEIRA DE GOIÁS,05/2022,20471
520420,CACHOEIRA DE GOIÁS,12/2022,60575
520420,CACHOEIRA DE GOIÁS,09/2022,60578
520425,CACHOEIRA DOURADA,09/2022,60110
520425,CACHOEIRA DOURADA,05/2022,17102
520425,CACHOEIRA DOURADA,11/2022,60233
520425,CACHOEIRA DOURADA,03/2022,16948
520425,CACHOEIRA DOURADA,12/2022,60054
520425,CACHOEIRA DOURADA,07/2022,40099
520425,CACHOEIRA DOURADA,01/2022,17012
520425,CACHOEIRA DOURADA,02/2022,17089
520425,CACHOEIRA DOURADA,04/2022,16701
520425,CACHOEIRA DOURADA,10/2022,60878
520425,CACHOEIRA DOURADA,06/2022,16688
520425,CACHOEIRA DOURADA,08/2022,60136
520430,CAÇU,04/2022,16374
520430,CAÇU,10/2022,60115
520430,CAÇU,06/2022,16246
520430,CAÇU,01/2022,16514
520430,CAÇU,08/2022,60109
520430,CAÇU,05/2022,16333
520430,CAÇU,11/2022,60121
520430,CAÇU,12/2022,60131
520430,CAÇU,07/2022,40163
520430,CAÇU,09/2022,60116
520430,CAÇU,03/2022,16810
520430,CAÇU,02/2022,16520
520440,CAIAPÔNIA,03/2022,17665
520440,CAIAPÔNIA,02/2022,17432
520440,CAIAPÔNIA,01/2022,17148
520440,CAIAPÔNIA,10/2022,60294
520440,CAIAPÔNIA,04/2022,17575
520440,CAIAPÔNIA,06/2022,17362
520440,CAIAPÔNIA,08/2022,60173
520440,CAIAPÔNIA,09/2022,60206
520440,CAIAPÔNIA,12/2022,60204
520440,CAIAPÔNIA,05/2022,17619
520440,CAIAPÔNIA,11/2022,60198
520440,CAIAPÔNIA,07/2022,40185
520450,CALDAS NOVAS,11/2022,60230
520450,CALDAS NOVAS,09/2022,60116
520450,CALDAS NOVAS,07/2022,40115
520450,CALDAS NOVAS,12/2022,60241
520450,CALDAS NOVAS,05/2022,16452
520450,CALDAS NOVAS,02/2022,16229
520450,CALDAS NOVAS,03/2022,16445
520450,CALDAS NOVAS,04/2022,16408
520450,CALDAS NOVAS,01/2022,16253
520450,CALDAS NOVAS,10/2022,60187
520450,CALDAS NOVAS,06/2022,16449
520450,CALDAS NOVAS,08/2022,60115
520455,CALDAZINHA,06/2022,18518
520455,CALDAZINHA,04/2022,18715
520455,CALDAZINHA,01/2022,18771
520455,CALDAZINHA,08/2022,60323
520455,CALDAZINHA,10/2022,60361
520455,CALDAZINHA,05/2022,18606
520455,CALDAZINHA,07/2022,40334
520455,CALDAZINHA,12/2022,60373
520455,CALDAZINHA,09/2022,60373
520455,CALDAZINHA,03/2022,18945
520455,CALDAZINHA,02/2022,18721
520455,CALDAZINHA,11/2022,60328
520460,CAMPESTRE DE GOIÁS,03/2022,21536
520460,CAMPESTRE DE GOIÁS,02/2022,21805
520460,CAMPESTRE DE GOIÁS,04/2022,21263
520460,CAMPESTRE DE GOIÁS,10/2022,60436
520460,CAMPESTRE DE GOIÁS,06/2022,19423
520460,CAMPESTRE DE GOIÁS,01/2022,20927
520460,CAMPESTRE DE GOIÁS,08/2022,60406
520460,CAMPESTRE DE GOIÁS,11/2022,60430
520460,CAMPESTRE DE GOIÁS,05/2022,20066
520460,CAMPESTRE DE GOIÁS,12/2022,60402
520460,CAMPESTRE DE GOIÁS,07/2022,40493
520460,CAMPESTRE DE GOIÁS,09/2022,60449
520465,CAMPINAÇU,11/2022,60764
520465,CAMPINAÇU,07/2022,40828
520465,CAMPINAÇU,09/2022,60831
520465,CAMPINAÇU,05/2022,22632
520465,CAMPINAÇU,12/2022,60747
520465,CAMPINAÇU,03/2022,23022
520465,CAMPINAÇU,02/2022,23365
520465,CAMPINAÇU,10/2022,60926
520465,CAMPINAÇU,08/2022,60804
520465,CAMPINAÇU,04/2022,22973
520465,CAMPINAÇU,06/2022,22738
520465,CAMPINAÇU,01/2022,22263
520470,CAMPINORTE,08/2022,60073
520470,CAMPINORTE,01/2022,18059
520470,CAMPINORTE,04/2022,18067
520470,CAMPINORTE,06/2022,17633
520470,CAMPINORTE,10/2022,60053
520470,CAMPINORTE,05/2022,18064
520470,CAMPINORTE,11/2022,60456
520470,CAMPINORTE,09/2022,60051
520470,CAMPINORTE,07/2022,40089
520470,CAMPINORTE,12/2022,60430
520470,CAMPINORTE,02/2022,18336
520470,CAMPINORTE,03/2022,17983
520480,CAMPO ALEGRE DE GOIÁS,02/2022,21089
520480,CAMPO ALEGRE DE GOIÁS,03/2022,21453
520480,CAMPO ALEGRE DE GOIÁS,08/2022,60568
520480,CAMPO ALEGRE DE GOIÁS,10/2022,60528
520480,CAMPO ALEGRE DE GOIÁS,06/2022,20987
520480,CAMPO ALEGRE DE GOIÁS,01/2022,20464
520480,CAMPO ALEGRE DE GOIÁS,04/2022,21451
520480,CAMPO ALEGRE DE GOIÁS,09/2022,60593
520480,CAMPO ALEGRE DE GOIÁS,05/2022,21584
520480,CAMPO ALEGRE DE GOIÁS,12/2022,61046
520480,CAMPO ALEGRE DE GOIÁS,11/2022,60677
520480,CAMPO ALEGRE DE GOIÁS,07/2022,40679
520485,CAMPO LIMPO DE GOIÁS,11/2022,60762
520485,CAMPO LIMPO DE GOIÁS,09/2022,60670
520485,CAMPO LIMPO DE GOIÁS,07/2022,40693
520485,CAMPO LIMPO DE GOIÁS,05/2022,22988
520485,CAMPO LIMPO DE GOIÁS,12/2022,60562
520485,CAMPO LIMPO DE GOIÁS,02/2022,23110
520485,CAMPO LIMPO DE GOIÁS,03/2022,23178
520485,CAMPO LIMPO DE GOIÁS,06/2022,22469
520485,CAMPO LIMPO DE GOIÁS,01/2022,22210
520485,CAMPO LIMPO DE GOIÁS,10/2022,60676
520485,CAMPO LIMPO DE GOIÁS,04/2022,23170
520485,CAMPO LIMPO DE GOIÁS,08/2022,60645
520490,CAMPOS BELOS,04/2022,18972
520490,CAMPOS BELOS,08/2022,60248
520490,CAMPOS BELOS,06/2022,17821
520490,CAMPOS BELOS,10/2022,60271
520490,CAMPOS BELOS,01/2022,18808
520490,CAMPOS BELOS,05/2022,18653
520490,CAMPOS BELOS,11/2022,60219
520490,CAMPOS BELOS,12/2022,60278
520490,CAMPOS BELOS,07/2022,40264
520490,CAMPOS BELOS,09/2022,60226
520490,CAMPOS BELOS,03/2022,19264
520490,CAMPOS BELOS,02/2022,19220
520495,CAMPOS VERDES,02/2022,22362
520495,CAMPOS VERDES,03/2022,21744
520495,CAMPOS VERDES,06/2022,21814
520495,CAMPOS VERDES,01/2022,21329
520495,CAMPOS VERDES,10/2022,60693
520495,CAMPOS VERDES,08/2022,60688
520495,CAMPOS VERDES,04/2022,21811
520495,CAMPOS VERDES,07/2022,40784
520495,CAMPOS VERDES,09/2022,60673
520495,CAMPOS VERDES,05/2022,21807
520495,CAMPOS VERDES,12/2022,60873
520495,CAMPOS VERDES,11/2022,60562
520500,CARMO DO RIO VERDE,12/2022,60518
520500,CARMO DO RIO VERDE,05/2022,17984
520500,CARMO DO RIO VERDE,11/2022,60526
520500,CARMO DO RIO VERDE,09/2022,60194
520500,CARMO DO RIO VERDE,07/2022,40207
520500,CARMO DO RIO VERDE,02/2022,18858
520500,CARMO DO RIO VERDE,03/2022,18472
520500,CARMO DO RIO VERDE,04/2022,18364
520500,CARMO DO RIO VERDE,06/2022,18035
520500,CARMO DO RIO VERDE,08/2022,60190
520500,CARMO DO RIO VERDE,01/2022,18690
520500,CARMO DO RIO VERDE,10/2022,60222
520505,CASTELÂNDIA,04/2022,20028
520505,CASTELÂNDIA,08/2022,60407
520505,CASTELÂNDIA,06/2022,20128
520505,CASTELÂNDIA,01/2022,21398
520505,CASTELÂNDIA,10/2022,60383
520505,CASTELÂNDIA,11/2022,60325
520505,CASTELÂNDIA,07/2022,40493
520505,CASTELÂNDIA,09/2022,60342
520505,CASTELÂNDIA,12/2022,60326
520505,CASTELÂNDIA,03/2022,20032
520505,CASTELÂNDIA,02/2022,22198
520505,CASTELÂNDIA,05/2022,19982
520510,CATALÃO,03/2022,21317
520510,CATALÃO,02/2022,21085
520510,CATALÃO,10/2022,60601
520510,CATALÃO,04/2022,21373
520510,CATALÃO,08/2022,60600
520510,CATALÃO,01/2022,20447
520510,CATALÃO,06/2022,20889
520510,CATALÃO,09/2022,60556
520510,CATALÃO,07/2022,40691
520510,CATALÃO,11/2022,60543
520510,CATALÃO,12/2022,60517
520510,CATALÃO,05/2022,21284
520520,CATURAÍ,05/2022,17060
520520,CATURAÍ,12/2022,60100
520520,CATURAÍ,07/2022,40164
520520,CATURAÍ,09/2022,60174
520520,CATURAÍ,11/2022,60106
520520,CATURAÍ,02/2022,17244
520520,CATURAÍ,03/2022,17129
520520,CATURAÍ,10/2022,60107
520520,CATURAÍ,08/2022,60178
520520,CATURAÍ,06/2022,16666
520520,CATURAÍ,01/2022,16880
520520,CATURAÍ,04/2022,17000
520530,CAVALCANTE,10/2022,60768
520530,CAVALCANTE,08/2022,60801
520530,CAVALCANTE,04/2022,21108
520530,CAVALCANTE,01/2022,20563
520530,CAVALCANTE,06/2022,20576
520530,CAVALCANTE,02/2022,21182
520530,CAVALCANTE,12/2022,60743
520530,CAVALCANTE,07/2022,40803
520530,CAVALCANTE,11/2022,60749
520530,CAVALCANTE,05/2022,21121
520530,CAVALCANTE,09/2022,60753
520530,CAVALCANTE,03/2022,21254
520540,CERES,02/2022,18546
520540,CERES,03/2022,18532
520540,CERES,10/2022,60515
520540,CERES,08/2022,60242
520540,CERES,04/2022,18379
520540,CERES,01/2022,18058
520540,CERES,06/2022,17812
520540,CERES,09/2022,60257
520540,CERES,07/2022,40233
520540,CERES,05/2022,18114
520540,CERES,11/2022,60236
520540,CERES,12/2022,60209
520545,CEZARINA,09/2022,60078
520545,CEZARINA,11/2022,60203
520545,CEZARINA,12/2022,60837
520545,CEZARINA,07/2022,40175
520545,CEZARINA,05/2022,17870
520545,CEZARINA,02/2022,18599
520545,CEZARINA,03/2022,18342
520545,CEZARINA,08/2022,60093
520545,CEZARINA,06/2022,17394
520545,CEZARINA,04/2022,18031
520545,CEZARINA,10/2022,60076
520545,CEZARINA,01/2022,18040
520547,CHAPADÃO DO CÉU,06/2022,20222
520547,CHAPADÃO DO CÉU,04/2022,20520
520547,CHAPADÃO DO CÉU,10/2022,60382
520547,CHAPADÃO DO CÉU,01/2022,20018
520547,CHAPADÃO DO CÉU,08/2022,60241
520547,CHAPADÃO DO CÉU,05/2022,20647
520547,CHAPADÃO DO CÉU,09/2022,60225
520547,CHAPADÃO DO CÉU,12/2022,60197
520547,CHAPADÃO DO CÉU,07/2022,40257
520547,CHAPADÃO DO CÉU,11/2022,60202
520547,CHAPADÃO DO CÉU,02/2022,20453
520547,CHAPADÃO DO CÉU,03/2022,20618
520549,CIDADE OCIDENTAL,02/2022,22712
520549,CIDADE OCIDENTAL,03/2022,22980
520549,CIDADE OCIDENTAL,11/2022,60702
520549,CIDADE OCIDENTAL,06/2022,22564
520549,CIDADE OCIDENTAL,04/2022,22991
520549,CIDADE OCIDENTAL,08/2022,60729
520549,CIDADE OCIDENTAL,07/2022,40913
520549,CIDADE OCIDENTAL,01/2022,21984
520549,CIDADE OCIDENTAL,10/2022,60688
520549,CIDADE OCIDENTAL,05/2022,22930
520549,CIDADE OCIDENTAL,12/2022,60628
520549,CIDADE OCIDENTAL,09/2022,60692
520551,COCALZINHO DE GOIÁS,05/2022,22488
520551,COCALZINHO DE GOIÁS,11/2022,60881
520551,COCALZINHO DE GOIÁS,12/2022,60579
520551,COCALZINHO DE GOIÁS,09/2022,60633
520551,COCALZINHO DE GOIÁS,07/2022,40809
520551,COCALZINHO DE GOIÁS,03/2022,22566
520551,COCALZINHO DE GOIÁS,02/2022,22349
520551,COCALZINHO DE GOIÁS,10/2022,60624
520551,COCALZINHO DE GOIÁS,01/2022,21400
520551,COCALZINHO DE GOIÁS,08/2022,60711
520551,COCALZINHO DE GOIÁS,04/2022,22520
520551,COCALZINHO DE GOIÁS,06/2022,21914
520552,COLINAS DO SUL,06/2022,20098
520552,COLINAS DO SUL,04/2022,20426
520552,COLINAS DO SUL,10/2022,60880
520552,COLINAS DO SUL,08/2022,60500
520552,COLINAS DO SUL,09/2022,60560
520552,COLINAS DO SUL,05/2022,20653
520552,COLINAS DO SUL,12/2022,60545
520552,COLINAS DO SUL,11/2022,60706
520552,COLINAS DO SUL,07/2022,40511
520552,COLINAS DO SUL,01/2022,20159
520552,COLINAS DO SUL,03/2022,20410
520552,COLINAS DO SUL,02/2022,20958
520570,CÓRREGO DO OURO,03/2022,17232
520570,CÓRREGO DO OURO,02/2022,17733
520570,CÓRREGO DO OURO,10/2022,60070
520570,CÓRREGO DO OURO,06/2022,17036
520570,CÓRREGO DO OURO,08/2022,60101
520570,CÓRREGO DO OURO,04/2022,17082
520570,CÓRREGO DO OURO,05/2022,17338
520570,CÓRREGO DO OURO,09/2022,60072
520570,CÓRREGO DO OURO,01/2022,17177
520570,CÓRREGO DO OURO,12/2022,60180
520570,CÓRREGO DO OURO,11/2022,60138
520570,CÓRREGO DO OURO,07/2022,40103
520580,CORUMBÁ DE GOIÁS,05/2022,17937
520580,CORUMBÁ DE GOIÁS,01/2022,16715
520580,CORUMBÁ DE GOIÁS,07/2022,40223
520580,CORUMBÁ DE GOIÁS,09/2022,60179
520580,CORUMBÁ DE GOIÁS,12/2022,60464
520580,CORUMBÁ DE GOIÁS,11/2022,60219
520580,CORUMBÁ DE GOIÁS,03/2022,17631
520580,CORUMBÁ DE GOIÁS,02/2022,17416
520580,CORUMBÁ DE GOIÁS,10/2022,60228
