v0002_codigo_do_municipio,GeoSES
120001,-0.626435084698945
120005,-0.681931132926737
120010,-0.610733966394302
120013,-0.663708996882926
120017,-0.687889654655487
120020,-0.541975189232481
120025,-0.539305503521267
120030,-0.79656765452781
120032,-0.933051111253848
120033,-0.685875148605047
120034,-0.772954989355986
120035,-0.921621828845197
120038,-0.654638003279556
120039,-0.883286157727457
120040,-0.257828435313276
120042,-0.804479297598086
120043,-0.851890173255449
120045,-0.557538170274086
120050,-0.687514436098382
120060,-0.778636452312982
120070,-0.68166280027558
120080,-0.689896418512781
270620,-0.870621800376851
270630,-0.557356859721555
270640,-0.757772050651494
270642,-0.780012773251433
270644,-0.658685724705069
270650,-0.840277060503392
270660,-0.712149199950959
270670,-0.627356493286754
270680,-0.767430251639468
270690,-0.684936821121322
270700,-0.714733357988688
270710,-0.699961086067987
270720,-0.799311035863472
270730,-0.727665383960475
270740,-0.799378453192025
270750,-0.791145808116862
270760,-0.763739379272402
270770,-0.580319605562409
270780,-0.855156147826036
270790,-0.752262941402174
270800,-0.656347270852369
270810,-0.793900632958325
270820,-0.760131269146923
270830,-0.728188990100704
270840,-0.818356545674162
270850,-0.779579964368772
270860,-0.59426603177682
270870,-0.75562663727419
270880,-0.74911796984074
270890,-0.556861370882874
270895,-0.803699787667886
270900,-0.792397722281775
270910,-0.775539126090345
270915,-0.750367106547629
270920,-0.827430191627223
270930,-0.692023181067884
270940,-0.725501448000347
270340,-0.724064737897404
270350,-0.790728791875374
270360,-0.734582707004135
270370,-0.746148275769129
270375,-0.768212813598186
270380,-0.813189932472891
270390,-0.739239338034419
270400,-0.667817189735783
270410,-0.755944138650503
270420,-0.738661832456986
270430,-0.180749551658261
270440,-0.707228875506707
270450,-0.723051864138357
270460,-0.752019922241033
270470,-0.469629751998097
270480,-0.694230674659448
270490,-0.731415191109754
270500,-0.817428531991649
270510,-0.78861780137637
270520,-0.773584937861577
270530,-0.713899034827909
270540,-0.844014169606237
270550,-0.789198400984666
270560,-0.792331663265292
270570,-0.708768757805353
270580,-0.802224910529866
270590,-0.80927391174983
270600,-0.804547985823396
270610,-0.717202598343284
270010,-0.784088048967758
270020,-0.745200057712383
270030,-0.483099337815889
270040,-0.78317176935677
270050,-0.745710086028537
270060,-0.488440605037855
270070,-0.691071876675898
270080,-0.714214807888163
270090,-0.798942896815965
270100,-0.690359414342883
270110,-0.857724489379488
270120,-0.76073083002655
270130,-0.760734006063244
270135,-0.794088646185551
270140,-0.777124516891505
270150,-0.814081092326005
270160,-0.803785247247792
270170,-0.743097811564893
270180,-0.795154426845919
270190,-0.726079637680083
270200,-0.763978551911031
270210,-0.78069886533071
270220,-0.725850248580508
270230,-0.64678262625893
270235,-0.771649351585215
270240,-0.638516549239446
270250,-0.816720007311756
270255,-0.795902167046123
270260,-0.755572071164587
270270,-0.738091271723328
270280,-0.811380818556403
270290,-0.782849170707834
270300,-0.809809257463555
270310,-0.723096161623664
270320,-0.785475274440657
270330,-0.851685942170376
130002,-0.866103505903806
130006,-0.878908504858692
130008,-0.748700687953772
130010,-0.750913354688636
130014,-0.546472674945733
130020,-0.897690239158763
130260,-0.184607403784581
130030,-0.812506176780804
130040,-0.841857887747671
130050,-0.863931331865472
130060,-0.735896439042633
130063,-0.901122968114347
130068,-0.83268516328591
130070,-0.743883595764278
130080,-0.808740132574511
130083,-0.789402379656691
130090,-0.796527709786066
130100,-0.820355126835467
130110,-0.835651946105415
130115,-0.838627643194597
130120,-0.697824591774761
130130,-0.7962468024997
130140,-0.811873833736132
130150,-0.820039493867857
130160,-0.820837505847894
130165,-0.841723069180441
130170,-0.642190382404037
130180,-0.88264692930881
130185,-0.677968008223143
130190,-0.572333846195487
130270,-0.695505937950437
130195,-0.942180099959584
130280,-0.904817996630104
130200,-0.63145497008909
130210,-0.87847673357368
130220,-0.854495896722386
130290,-0.784931248652219
130230,-0.844741398286808
130240,-0.807259615102665
130300,-0.847325205287489
130310,-0.80173552668469
130250,-0.634300906447625
130320,-0.730409786653547
130330,-0.77975520991766
130340,-0.587464947212351
130255,-0.803016126632937
130350,-0.831199060581356
130353,-0.560566977971314
130356,-0.626700727423542
130360,-0.905148831930302
130370,-0.905458864922852
130380,-0.778677210887972
130390,-0.877285706840511
130395,-0.777473144489381
130400,-0.743588473485324
130406,-0.596930010254162
130410,-0.852330360273632
130420,-0.599901617736126
130423,-0.853335087210677
130426,-0.848698314725063
130430,-0.732599413293778
130440,-0.768312693902
160005,-0.471125781196398
160010,-0.675034687538798
160015,-0.66055854600025
160020,-0.693275390021409
160021,-0.705932313197483
160023,-0.589928264921745
160025,-0.830974336746002
160027,-0.595705080590374
160030,-0.204399648849254
160040,-0.744003164770358
160050,-0.582553847534485
