codigo_municipio_ibge,nome_municipio,pib_preco_corrente,atividade_maior_valor_ad_bruto
130020,Atalaia do Norte,8469.49,"Administração, defesa, educação e saúde públicas e seguridade social"
130030,Autazes,11092.32,"Administração, defesa, educação e saúde públicas e seguridade social"
130040,Barcelos,7544.4,"Administração, defesa, educação e saúde públicas e seguridade social"
130050,Barreirinha,9652.53,"Administração, defesa, educação e saúde públicas e seguridade social"
130060,Benjamin Constant,7951.34,"Administração, defesa, educação e saúde públicas e seguridade social"
130063,Beruri,9068.84,"Administração, defesa, educação e saúde públicas e seguridade social"
130068,Boa Vista do Ramos,8229.5,"Administração, defesa, educação e saúde públicas e seguridade social"
130070,Boca do Acre,13740.43,"Administração, defesa, educação e saúde públicas e seguridade social"
130080,Borba,8659.19,"Administração, defesa, educação e saúde públicas e seguridade social"
130083,Caapiranga,12845.71,"Administração, defesa, educação e saúde públicas e seguridade social"
130090,Canutama,8440.09,"Administração, defesa, educação e saúde públicas e seguridade social"
130100,Carauari,12591.08,"Administração, defesa, educação e saúde públicas e seguridade social"
130110,Careiro,9480.38,"Administração, defesa, educação e saúde públicas e seguridade social"
130115,Careiro da Várzea,12129.31,"Agricultura, inclusive apoio à agricultura e a pós colheita"
130120,Coari,22387.52,Indústrias extrativas
130130,Codajás,17107.74,"Produção florestal, pesca e aquicultura"
130140,Eirunepé,14089.95,"Administração, defesa, educação e saúde públicas e seguridade social"
130150,Envira,8738.08,"Administração, defesa, educação e saúde públicas e seguridade social"
130160,Fonte Boa,11589.68,"Administração, defesa, educação e saúde públicas e seguridade social"
130165,Guajará,8703.05,"Administração, defesa, educação e saúde públicas e seguridade social"
130170,Humaitá,13907.15,"Administração, defesa, educação e saúde públicas e seguridade social"
130180,Ipixuna,6363.46,"Administração, defesa, educação e saúde públicas e seguridade social"
130185,Iranduba,14855.29,"Administração, defesa, educação e saúde públicas e seguridade social"
130190,Itacoatiara,22140.55,Demais serviços
130195,Itamarati,13758.73,"Administração, defesa, educação e saúde públicas e seguridade social"
130200,Itapiranga,14541.96,"Administração, defesa, educação e saúde públicas e seguridade social"
130210,Japurá,28047.08,"Administração, defesa, educação e saúde públicas e seguridade social"
130220,Juruá,8093.56,"Administração, defesa, educação e saúde públicas e seguridade social"
130230,Jutaí,18207.98,"Administração, defesa, educação e saúde públicas e seguridade social"
130240,Lábrea,11856.93,"Administração, defesa, educação e saúde públicas e seguridade social"
130250,Manacapuru,14543.88,"Administração, defesa, educação e saúde públicas e seguridade social"
130255,Manaquiri,8305.92,"Administração, defesa, educação e saúde públicas e seguridade social"
130260,Manaus,41345.11,Indústrias de transformação
130270,Manicoré,10981.24,"Administração, defesa, educação e saúde públicas e seguridade social"
130280,Maraã,8150.3,"Administração, defesa, educação e saúde públicas e seguridade social"
130290,Maués,8703.05,"Administração, defesa, educação e saúde públicas e seguridade social"
130300,Nhamundá,8660.31,"Administração, defesa, educação e saúde públicas e seguridade social"
130310,Nova Olinda do Norte,7730.57,"Administração, defesa, educação e saúde públicas e seguridade social"
130320,Novo Airão,8750.36,"Administração, defesa, educação e saúde públicas e seguridade social"
130330,Novo Aripuanã,8431.61,"Administração, defesa, educação e saúde públicas e seguridade social"
130340,Parintins,11448.73,"Administração, defesa, educação e saúde públicas e seguridade social"
130350,Pauini,8970.3,"Administração, defesa, educação e saúde públicas e seguridade social"
130353,Presidente Figueiredo,22304.99,Indústrias extrativas
130356,Rio Preto da Eva,10982.88,"Administração, defesa, educação e saúde públicas e seguridade social"
130360,Santa Isabel do Rio Negro,6079.84,"Administração, defesa, educação e saúde públicas e seguridade social"
130370,Santo Antônio do Içá,9822.89,"Administração, defesa, educação e saúde públicas e seguridade social"
130380,São Gabriel da Cachoeira,8133.7,"Administração, defesa, educação e saúde públicas e seguridade social"
130390,São Paulo de Olivença,7539.8,"Administração, defesa, educação e saúde públicas e seguridade social"
130395,São Sebastião do Uatumã,8913.14,"Administração, defesa, educação e saúde públicas e seguridade social"
130400,Silves,14497.22,"Administração, defesa, educação e saúde públicas e seguridade social"
130406,Tabatinga,9724.24,"Administração, defesa, educação e saúde públicas e seguridade social"
130410,Tapauá,12857.93,"Administração, defesa, educação e saúde públicas e seguridade social"
130420,Tefé,15811.86,"Administração, defesa, educação e saúde públicas e seguridade social"
130423,Tonantins,8395.52,"Administração, defesa, educação e saúde públicas e seguridade social"
130426,Uarini,14985.24,"Agricultura, inclusive apoio à agricultura e a pós colheita"
130430,Urucará,19023.02,"Produção florestal, pesca e aquicultura"
130440,Urucurituba,8301.07,"Administração, defesa, educação e saúde públicas e seguridade social"
140002,Amajari,15021.27,"Administração, defesa, educação e saúde públicas e seguridade social"
140005,Alto Alegre,26637.07,"Administração, defesa, educação e saúde públicas e seguridade social"
140010,Boa Vista,28180.99,"Administração, defesa, educação e saúde públicas e seguridade social"
140015,Bonfim,33246.22,"Agricultura, inclusive apoio à agricultura e a pós colheita"
140017,Cantá,17295.69,"Administração, defesa, educação e saúde públicas e seguridade social"
140020,Caracaraí,18420.7,"Administração, defesa, educação e saúde públicas e seguridade social"
140023,Caroebe,21925.94,"Administração, defesa, educação e saúde públicas e seguridade social"
140028,Iracema,14820.05,"Administração, defesa, educação e saúde públicas e seguridade social"
140030,Mucajaí,19185.75,"Administração, defesa, educação e saúde públicas e seguridade social"
140040,Normandia,16892.62,"Administração, defesa, educação e saúde públicas e seguridade social"
140045,Pacaraima,15358.91,"Administração, defesa, educação e saúde públicas e seguridade social"
140047,Rorainópolis,20688.53,"Administração, defesa, educação e saúde públicas e seguridade social"
140050,São João da Baliza,31400.66,"Administração, defesa, educação e saúde públicas e seguridade social"
140060,São Luiz,20364.42,"Administração, defesa, educação e saúde públicas e seguridade social"
140070,Uiramutã,11985.64,"Administração, defesa, educação e saúde públicas e seguridade social"
150010,Abaetetuba,10413.48,"Administração, defesa, educação e saúde públicas e seguridade social"
150013,Abel Figueiredo,12780.87,"Administração, defesa, educação e saúde públicas e seguridade social"
150020,Acará,15840.52,"Agricultura, inclusive apoio à agricultura e a pós colheita"
150030,Afuá,11075.99,"Administração, defesa, educação e saúde públicas e seguridade social"
150034,Água Azul do Norte,19236.57,"Pecuária, inclusive apoio à pecuária"
150040,Alenquer,12114.02,"Administração, defesa, educação e saúde públicas e seguridade social"
150050,Almeirim,18417.18,"Administração, defesa, educação e saúde públicas e seguridade social"
150060,Altamira,22044.21,Demais serviços
150070,Anajás,7703.25,"Administração, defesa, educação e saúde públicas e seguridade social"
150080,Ananindeua,15201.46,Demais serviços
150085,Anapu,18232.72,"Administração, defesa, educação e saúde públicas e seguridade social"
150090,Augusto Corrêa,7874.67,"Administração, defesa, educação e saúde públicas e seguridade social"
150095,Aurora do Pará,8419.97,"Administração, defesa, educação e saúde públicas e seguridade social"
150100,Aveiro,8461.75,"Administração, defesa, educação e saúde públicas e seguridade social"
150110,Bagre,7433.19,"Administração, defesa, educação e saúde públicas e seguridade social"
150120,Baião,12704.23,"Agricultura, inclusive apoio à agricultura e a pós colheita"
150125,Bannach,30851.86,"Pecuária, inclusive apoio à pecuária"
150130,Barcarena,58550.4,Indústrias de transformação
150140,Belém,20562.1,Demais serviços
150145,Belterra,10460.11,"Administração, defesa, educação e saúde públicas e seguridade social"
150150,Benevides,26267.84,Indústrias de transformação
150157,Bom Jesus do Tocantins,12141.3,"Administração, defesa, educação e saúde públicas e seguridade social"
150160,Bonito,11473.87,"Administração, defesa, educação e saúde públicas e seguridade social"
150170,Bragança,10682.63,"Administração, defesa, educação e saúde públicas e seguridade social"
150172,Brasil Novo,21505.04,"Administração, defesa, educação e saúde públicas e seguridade social"
150175,Brejo Grande do Araguaia,12026.82,"Administração, defesa, educação e saúde públicas e seguridade social"
150178,Breu Branco,10220.8,"Administração, defesa, educação e saúde públicas e seguridade social"
150180,Breves,8185.99,"Administração, defesa, educação e saúde públicas e seguridade social"
150190,Bujaru,16596.7,"Agricultura, inclusive apoio à agricultura e a pós colheita"
150195,Cachoeira do Piriá,6231.85,"Administração, defesa, educação e saúde públicas e seguridade social"
150200,Cachoeira do Arari,9575.58,"Administração, defesa, educação e saúde públicas e seguridade social"
