"","CDMUN","NMMUN","SGUF","ISH"
"1","1100015","Alta Floresta D'Oeste","RO","Alta"
"2","1100023","Ariquemes","RO","Média"
"3","1100031","Cabixi","RO","Alta"
"4","1100049","Cacoal","RO","Alta"
"5","1100056","Cerejeiras","RO","Baixa"
"6","1100064","Colorado do Oeste","RO","Média"
"7","1100072","Corumbiara","RO","Alta"
"8","1100080","Costa Marques","RO","Baixa"
"9","1100098","Espigão D'Oeste","RO","Média"
"10","1100106","Guajará-Mirim","RO","Média"
"11","1100114","Jaru","RO","Média"
"12","1100122","Ji-Paraná","RO","Média"
"13","1100130","Machadinho D'Oeste","RO","Baixa"
"14","1100148","Nova Brasilândia D'Oeste","RO","Alta"
"15","1100155","Ouro Preto do Oeste","RO","Alta"
"16","1100189","Pimenta Bueno","RO","Média"
"17","1100205","Porto Velho","RO","Baixa"
"18","1100254","Presidente Médici","RO","Alta"
"19","1100262","Rio Crespo","RO","Média"
"20","1100288","Rolim de Moura","RO","Média"
"21","1100296","Santa Luzia D'Oeste","RO","Alta"
"22","1100304","Vilhena","RO","Média"
"23","1100320","São Miguel do Guaporé","RO","Baixa"
"24","1100338","Nova Mamoré","RO","Média"
"25","1100346","Alvorada D'Oeste","RO","Média"
"26","1100379","Alto Alegre dos Parecis","RO","Média"
"27","1100403","Alto Paraíso","RO","Média"
"28","1100452","Buritis","RO","Baixa"
"29","1100502","Novo Horizonte do Oeste","RO","Alta"
"30","1100601","Cacaulândia","RO","Baixa"
"31","1100700","Campo Novo de Rondônia","RO","Média"
"32","1100809","Candeias do Jamari","RO","Média"
"33","1100908","Castanheiras","RO","Alta"
"34","1100924","Chupinguaia","RO","Média"
"35","1100940","Cujubim","RO","Média"
"36","1101005","Governador Jorge Teixeira","RO","Média"
"37","1101104","Itapuã do Oeste","RO","Média"
"38","1101203","Ministro Andreazza","RO","Alta"
"39","1101302","Mirante da Serra","RO","Média"
"40","1101401","Monte Negro","RO","Média"
"41","1101435","Nova União","RO","Alta"
"42","1101450","Parecis","RO","Média"
"43","1101468","Pimenteiras do Oeste","RO","Média"
"44","1101476","Primavera de Rondônia","RO","Média"
"45","1101484","São Felipe D'Oeste","RO","Alta"
"46","1101492","São Francisco do Guaporé","RO","Baixa"
"47","1101500","Seringueiras","RO","Alta"
"48","1101559","Teixeirópolis","RO","Baixa"
"49","1101609","Theobroma","RO","Média"
"50","1101708","Urupá","RO","Média"
"51","1101757","Vale do Anari","RO","Baixa"
"52","1101807","Vale do Paraíso","RO","Baixa"
"53","1200013","Acrelândia","AC","Média"
"54","1200054","Assis Brasil","AC","Alta"
"55","1200104","Brasiléia","AC","Média"
"56","1200138","Bujari","AC","Média"
"57","1200179","Capixaba","AC","Média"
"58","1200203","Cruzeiro do Sul","AC","Média"
"59","1200252","Epitaciolândia","AC","Baixa"
"60","1200302","Feijó","AC","Baixa"
"61","1200328","Jordão","AC","Média"
"62","1200336","Mâncio Lima","AC","Alta"
"63","1200344","Manoel Urbano","AC","Baixa"
"64","1200351","Marechal Thaumaturgo","AC","Média"
"65","1200385","Plácido de Castro","AC","Média"
"66","1200393","Porto Walter","AC","Média"
"67","1200401","Rio Branco","AC","Baixa"
"68","1200427","Rodrigues Alves","AC","Média"
"69","1200435","Santa Rosa do Purus","AC","Média"
"70","1200450","Senador Guiomard","AC","Baixa"
"71","1200500","Sena Madureira","AC","Baixa"
"72","1200609","Tarauacá","AC","Baixa"
"73","1200708","Xapuri","AC","Média"
"74","1200807","Porto Acre","AC","Média"
"75","1300029","Alvarães","AM","Baixa"
"76","1300060","Amaturá","AM","Média"
"77","1300086","Anamã","AM","Média"
"78","1300102","Anori","AM","Média"
"79","1300144","Apuí","AM","Média"
"80","1300201","Atalaia do Norte","AM","Média"
"81","1300300","Autazes","AM","Baixa"
"82","1300409","Barcelos","AM","Média"
"83","1300508","Barreirinha","AM","Média"
"84","1300607","Benjamin Constant","AM","Média"
"85","1300631","Beruri","AM","Média"
"86","1300680","Boa Vista do Ramos","AM","Média"
"87","1300706","Boca do Acre","AM","Baixa"
"88","1300805","Borba","AM","Alta"
"89","1300839","Caapiranga","AM","Média"
"90","1300904","Canutama","AM","Média"
"91","1301001","Carauari","AM","Média"
"92","1301100","Careiro","AM","Média"
"93","1301159","Careiro da Várzea","AM","Média"
"94","1301209","Coari","AM","Média"
"95","1301308","Codajás","AM","Baixa"
"96","1301407","Eirunepé","AM","Baixa"
"97","1301506","Envira","AM","Média"
"98","1301605","Fonte Boa","AM","Média"
"99","1301654","Guajará","AM","Média"
"100","1301704","Humaitá","AM","Média"
"101","1301803","Ipixuna","AM","Média"
"102","1301852","Iranduba","AM","Média"
"103","1301902","Itacoatiara","AM","Alta"
"104","1301951","Itamarati","AM","Baixa"
"105","1302009","Itapiranga","AM","Alta"
"106","1302108","Japurá","AM","Média"
"107","1302207","Juruá","AM","Média"
"108","1302306","Jutaí","AM","Média"
"109","1302405","Lábrea","AM","Média"
"110","1302504","Manacapuru","AM","Média"
"111","1302553","Manaquiri","AM","Média"
"112","1302603","Manaus","AM","Alta"
"113","1302702","Manicoré","AM","Média"
"114","1302801","Maraã","AM","Média"
"115","1302900","Maués","AM","Média"
"116","1303007","Nhamundá","AM","Média"
"117","1303106","Nova Olinda do Norte","AM","Alta"
"118","1303205","Novo Airão","AM","Alta"
"119","1303304","Novo Aripuanã","AM","Média"
"120","1303403","Parintins","AM","Média"
"121","1303502","Pauini","AM","Alta"
"122","1303536","Presidente Figueiredo","AM","Média"
"123","1303569","Rio Preto da Eva","AM","Alta"
"124","1303601","Santa Isabel do Rio Negro","AM","Média"
"125","1303700","Santo Antônio do Içá","AM","Alta"
"126","1303809","São Gabriel da Cachoeira","AM","Média"
"127","1303908","São Paulo de Olivença","AM","Média"
"128","1303957","São Sebastião do Uatumã","AM","Alta"
"129","1304005","Silves","AM","Alta"
"130","1304062","Tabatinga","AM","Baixa"
"131","1304104","Tapauá","AM","Média"
"132","1304203","Tefé","AM","Alta"
"133","1304237","Tonantins","AM","Alta"
"134","1304260","Uarini","AM","Média"
"135","1304302","Urucará","AM","Alta"
"136","1304401","Urucurituba","AM","Média"
"137","1400027","Amajari","RR","Média"
"138","1400050","Alto Alegre","RR","Média"
"139","1400100","Boa Vista","RR","Média"
"140","1400159","Bonfim","RR","Média"
"141","1400175","Cantá","RR","Média"
"142","1400209","Caracaraí","RR","Média"
"143","1400233","Caroebe","RR","Média"
"144","1400282","Iracema","RR","Média"
"145","1400308","Mucajaí","RR","Média"
"146","1400407","Normandia","RR","Média"
"147","1400456","Pacaraima","RR","Média"
"148","1400472","Rorainópolis","RR","Média"
"149","1400506","São João da Baliza","RR","Baixa"
"150","1400605","São Luiz","RR","Média"
"151","1400704","Uiramutã","RR","Média"
"152","1500107","Abaetetuba","PA","Baixa"
"153","1500131","Abel Figueiredo","PA","Alta"
"154","1500206","Acará","PA","Média"
"155","1500305","Afuá","PA","Média"
"156","1500347","Água Azul do Norte","PA","Média"
"157","1500404","Alenquer","PA","Baixa"
"158","1500503","Almeirim","PA","Média"
"159","1500602","Altamira","PA","Baixa"
"160","1500701","Anajás","PA","Baixa"
"161","1500800","Ananindeua","PA","Baixa"
"162","1500859","Anapu","PA","Média"
"163","1500909","Augusto Corrêa","PA","Média"
"164","1500958","Aurora do Pará","PA","Média"
"165","1501006","Aveiro","PA","Alta"
"166","1501105","Bagre","PA","Baixa"
"167","1501204","Baião","PA","Média"
"168","1501253","Bannach","PA","Baixa"
"169","1501303","Barcarena","PA","Baixa"
"170","1501402","Belém","PA","Média"
"171","1501451","Belterra","PA","Média"
"172","1501501","Benevides","PA","Máxima"
"173","1501576","Bom Jesus do Tocantins","PA","Média"
"174","1501600","Bonito","PA","Média"
"175","1501709","Bragança","PA","Baixa"
"176","1501725","Brasil Novo","PA","Média"
"177","1501758","Brejo Grande do Araguaia","PA","Baixa"
"178","1501782","Breu Branco","PA","Baixa"
"179","1501808","Breves","PA","Baixa"
"180","1501907","Bujaru","PA","Média"
"181","1501956","Cachoeira do Piriá","PA","Média"
"182","1502004","Cachoeira do Arari","PA","Média"
"183","1502103","Cametá","PA","Média"
"184","1502152","Canaã dos Carajás","PA","Baixa"
"185","1502202","Capanema","PA","Baixa"
"186","1502301","Capitão Poço","PA","Média"
"187","1502400","Castanhal","PA","Baixa"
"188","1502509","Chaves","PA","Média"
"189","1502608","Colares","PA","Média"
"190","1502707","Conceição do Araguaia","PA","Média"
"191","1502756","Concórdia do Pará","PA","Média"
"192","1502764","Cumaru do Norte","PA","Média"
"193","1502772","Curionópolis","PA","Alta"
"194","1502806","Curralinho","PA","Média"
"195","1502855","Curuá","PA","Média"
"196","1502905","Curuçá","PA","Média"
"197","1502939","Dom Eliseu","PA","Média"
"198","1502954","Eldorado do Carajás","PA","Alta"
"199","1503002","Faro","PA","Média"
"200","1503044","Floresta do Araguaia","PA","Média"
"201","1503077","Garrafão do Norte","PA","Média"
"202","1503093","Goianésia do Pará","PA","Baixa"
"203","1503101","Gurupá","PA","Média"
"204","1503200","Igarapé-Açu","PA","Média"
"205","1503309","Igarapé-Miri","PA","Baixa"
"206","1503408","Inhangapi","PA","Alta"
"207","1503457","Ipixuna do Pará","PA","Média"
"208","1503507","Irituia","PA","Média"
"209","1503606","Itaituba","PA","Baixa"
"210","1503705","Itupiranga","PA","Baixa"
"211","1503754","Jacareacanga","PA","Alta"
"212","1503804","Jacundá","PA","Média"
"213","1503903","Juruti","PA","Média"
"214","1504000","Limoeiro do Ajuru","PA","Média"
"215","1504059","Mãe do Rio","PA","Média"
"216","1504109","Magalhães Barata","PA","Média"
"217","1504208","Marabá","PA","Baixa"
"218","1504307","Maracanã","PA","Média"
"219","1504406","Marapanim","PA","Média"
"220","1504422","Marituba","PA","Baixa"
"221","1504455","Medicilândia","PA","Média"
"222","1504505","Melgaço","PA","Baixa"
"223","1504604","Mocajuba","PA","Baixa"
"224","1504703","Moju","PA","Média"
"225","1504752","Mojuí dos Campos","PA","Baixa"
"226","1504802","Monte Alegre","PA","Baixa"
"227","1504901","Muaná","PA","Média"
"228","1504950","Nova Esperança do Piriá","PA","Média"
"229","1504976","Nova Ipixuna","PA","Baixa"
"230","1505007","Nova Timboteua","PA","Média"
"231","1505031","Novo Progresso","PA","Alta"
"232","1505064","Novo Repartimento","PA","Baixa"
"233","1505106","Óbidos","PA","Baixa"
"234","1505205","Oeiras do Pará","PA","Média"
"235","1505304","Oriximiná","PA","Média"
"236","1505403","Ourém","PA","Baixa"
"237","1505437","Ourilândia do Norte","PA","Alta"
"238","1505486","Pacajá","PA","Média"
"239","1505494","Palestina do Pará","PA","Média"
"240","1505502","Paragominas","PA","Média"
"241","1505536","Parauapebas","PA","Alta"
"242","1505551","Pau D'Arco","PA","Alta"
"243","1505601","Peixe-Boi","PA","Média"
"244","1505635","Piçarra","PA","Média"
"245","1505650","Placas","PA","Média"
"246","1505700","Ponta de Pedras","PA","Média"
"247","1505809","Portel","PA","Baixa"
"248","1505908","Porto de Moz","PA","Média"
"249","1506005","Prainha","PA","Média"
"250","1506104","Primavera","PA","Baixa"
"251","1506112","Quatipuru","PA","Baixa"
"252","1506138","Redenção","PA","Baixa"
"253","1506161","Rio Maria","PA","Média"
"254","1506187","Rondon do Pará","PA","Média"
"255","1506195","Rurópolis","PA","Alta"
"256","1506203","Salinópolis","PA","Média"
"257","1506302","Salvaterra","PA","Baixa"
"258","1506351","Santa Bárbara do Pará","PA","Alta"
"259","1506401","Santa Cruz do Arari","PA","Baixa"
"260","1506500","Santa Izabel do Pará","PA","Média"
"261","1506559","Santa Luzia do Pará","PA","Média"
"262","1506583","Santa Maria das Barreiras","PA","Baixa"
"263","1506609","Santa Maria do Pará","PA","Média"
"264","1506708","Santana do Araguaia","PA","Baixa"
"265","1506807","Santarém","PA","Baixa"
"266","1506906","Santarém Novo","PA","Média"
"267","1507003","Santo Antônio do Tauá","PA","Média"
"268","1507102","São Caetano de Odivelas","PA","Média"
"269","1507151","São Domingos do Araguaia","PA","Média"
"270","1507201","São Domingos do Capim","PA","Alta"
"271","1507300","São Félix do Xingu","PA","Baixa"
"272","1507409","São Francisco do Pará","PA","Média"
"273","1507458","São Geraldo do Araguaia","PA","Média"
"274","1507466","São João da Ponta","PA","Média"
"275","1507474","São João de Pirabas","PA","Alta"
"276","1507508","São João do Araguaia","PA","Alta"
"277","1507607","São Miguel do Guamá","PA","Baixa"
"278","1507706","São Sebastião da Boa Vista","PA","Média"
"279","1507755","Sapucaia","PA","Média"
"280","1507805","Senador José Porfírio","PA","Média"
"281","1507904","Soure","PA","Média"
"282","1507953","Tailândia","PA","Média"
"283","1507961","Terra Alta","PA","Alta"
"284","1507979","Terra Santa","PA","Média"
"285","1508001","Tomé-Açu","PA","Média"
"286","1508035","Tracuateua","PA","Média"
"287","1508050","Trairão","PA","Média"
"288","1508084","Tucumã","PA","Alta"
"289","1508100","Tucuruí","PA","Média"
"290","1508126","Ulianópolis","PA","Alta"
"291","1508159","Uruará","PA","Baixa"
"292","1508209","Vigia","PA","Média"
"293","1508308","Viseu","PA","Média"
"294","1508357","Vitória do Xingu","PA","Alta"
"295","1508407","Xinguara","PA","Média"
"296","1600055","Serra do Navio","AP","Média"
"297","1600105","Amapá","AP","Baixa"
"298","1600154","Pedra Branca do Amapari","AP","Baixa"
"299","1600204","Calçoene","AP","Baixa"
"300","1600212","Cutias","AP","Média"
"301","1600238","Ferreira Gomes","AP","Baixa"
"302","1600253","Itaubal","AP","Média"
"303","1600279","Laranjal do Jari","AP","Baixa"
"304","1600303","Macapá","AP","Baixa"
"305","1600402","Mazagão","AP","Mínima"
"306","1600501","Oiapoque","AP","Média"
"307","1600535","Porto Grande","AP","Baixa"
"308","1600550","Pracuúba","AP","Média"
"309","1600600","Santana","AP","Baixa"
"310","1600709","Tartarugalzinho","AP","Média"
"311","1600808","Vitória do Jari","AP","Média"
"312","1700251","Abreulândia","TO","Média"
"313","1700301","Aguiarnópolis","TO","Máxima"
"314","1700350","Aliança do Tocantins","TO","Alta"
"315","1700400","Almas","TO","Média"
"316","1700707","Alvorada","TO","Média"
"317","1701002","Ananás","TO","Alta"
"318","1701051","Angico","TO","Máxima"
"319","1701101","Aparecida do Rio Negro","TO","Média"
"320","1701309","Aragominas","TO","Média"
"321","1701903","Araguacema","TO","Alta"
"322","1702000","Araguaçu","TO","Média"
"323","1702109","Araguaína","TO","Média"
"324","1702158","Araguanã","TO","Alta"
"325","1702208","Araguatins","TO","Média"
"326","1702307","Arapoema","TO","Alta"
"327","1702406","Arraias","TO","Média"
"328","1702554","Augustinópolis","TO","Alta"
"329","1702703","Aurora do Tocantins","TO","Alta"
"330","1702901","Axixá do Tocantins","TO","Alta"
"331","1703008","Babaçulândia","TO","Alta"
"332","1703057","Bandeirantes do Tocantins","TO","Média"
"333","1703073","Barra do Ouro","TO","Alta"
"334","1703107","Barrolândia","TO","Alta"
"335","1703206","Bernardo Sayão","TO","Média"
"336","1703305","Bom Jesus do Tocantins","TO","Média"
"337","1703602","Brasilândia do Tocantins","TO","Média"
"338","1703701","Brejinho de Nazaré","TO","Alta"
"339","1703800","Buriti do Tocantins","TO","Máxima"
"340","1703826","Cachoeirinha","TO","Máxima"
"341","1703842","Campos Lindos","TO","Máxima"
"342","1703867","Cariri do Tocantins","TO","Média"
"343","1703883","Carmolândia","TO","Média"
"344","1703891","Carrasco Bonito","TO","Alta"
"345","1703909","Caseara","TO","Média"
"346","1704105","Centenário","TO","Alta"
"347","1704600","Chapada de Areia","TO","Média"
"348","1705102","Chapada da Natividade","TO","Média"
"349","1705508","Colinas do Tocantins","TO","Média"
"350","1705557","Combinado","TO","Máxima"
"351","1705607","Conceição do Tocantins","TO","Baixa"
"352","1706001","Couto Magalhães","TO","Média"
"353","1706100","Cristalândia","TO","Alta"
"354","1706258","Crixás do Tocantins","TO","Alta"
"355","1706506","Darcinópolis","TO","Alta"
"356","1707009","Dianópolis","TO","Alta"
"357","1707108","Divinópolis do Tocantins","TO","Alta"
"358","1707207","Dois Irmãos do Tocantins","TO","Média"
"359","1707306","Dueré","TO","Alta"
"360","1707405","Esperantina","TO","Média"
"361","1707553","Fátima","TO","Alta"
"362","1707652","Figueirópolis","TO","Máxima"
"363","1707702","Filadélfia","TO","Alta"
"364","1708205","Formoso do Araguaia","TO","Alta"
"365","1708254","Tabocão","TO","Alta"
"366","1708304","Goianorte","TO","Alta"
"367","1709005","Goiatins","TO","Máxima"
"368","1709302","Guaraí","TO","Média"
"369","1709500","Gurupi","TO","Média"
"370","1709807","Ipueiras","TO","Alta"
"371","1710508","Itacajá","TO","Alta"
"372","1710706","Itaguatins","TO","Alta"
"373","1710904","Itapiratins","TO","Alta"
"374","1711100","Itaporã do Tocantins","TO","Alta"
"375","1711506","Jaú do Tocantins","TO","Máxima"
"376","1711803","Juarina","TO","Média"
"377","1711902","Lagoa da Confusão","TO","Máxima"
"378","1711951","Lagoa do Tocantins","TO","Média"
"379","1712009","Lajeado","TO","Alta"
"380","1712157","Lavandeira","TO","Máxima"
"381","1712405","Lizarda","TO","Alta"
"382","1712454","Luzinópolis","TO","Alta"
"383","1712504","Marianópolis do Tocantins","TO","Média"
"384","1712702","Mateiros","TO","Máxima"
"385","1712801","Maurilândia do Tocantins","TO","Alta"
"386","1713205","Miracema do Tocantins","TO","Máxima"
"387","1713304","Miranorte","TO","Alta"
"388","1713601","Monte do Carmo","TO","Alta"
"389","1713700","Monte Santo do Tocantins","TO","Média"
"390","1713809","Palmeiras do Tocantins","TO","Máxima"
"391","1713957","Muricilândia","TO","Alta"
"392","1714203","Natividade","TO","Baixa"
"393","1714302","Nazaré","TO","Máxima"
"394","1714880","Nova Olinda","TO","Alta"
"395","1715002","Nova Rosalândia","TO","Média"
"396","1715101","Novo Acordo","TO","Média"
"397","1715150","Novo Alegre","TO","Alta"
"398","1715259","Novo Jardim","TO","Alta"
"399","1715507","Oliveira de Fátima","TO","Máxima"
"400","1715705","Palmeirante","TO","Média"
"401","1715754","Palmeirópolis","TO","Alta"
"402","1716109","Paraíso do Tocantins","TO","Alta"
"403","1716208","Paranã","TO","Média"
"404","1716307","Pau D'Arco","TO","Alta"
"405","1716505","Pedro Afonso","TO","Média"
"406","1716604","Peixe","TO","Alta"
"407","1716653","Pequizeiro","TO","Alta"
"408","1716703","Colméia","TO","Alta"
"409","1717008","Pindorama do Tocantins","TO","Alta"
"410","1717206","Piraquê","TO","Alta"
"411","1717503","Pium","TO","Alta"
"412","1717800","Ponte Alta do Bom Jesus","TO","Alta"
"413","1717909","Ponte Alta do Tocantins","TO","Alta"
"414","1718006","Porto Alegre do Tocantins","TO","Máxima"
"415","1718204","Porto Nacional","TO","Alta"
"416","1718303","Praia Norte","TO","Alta"
"417","1718402","Presidente Kennedy","TO","Alta"
"418","1718451","Pugmil","TO","Média"
"419","1718501","Recursolândia","TO","Média"
"420","1718550","Riachinho","TO","Alta"
"421","1718659","Rio da Conceição","TO","Alta"
"422","1718709","Rio dos Bois","TO","Alta"
"423","1718758","Rio Sono","TO","Alta"
"424","1718808","Sampaio","TO","Média"
"425","1718840","Sandolândia","TO","Baixa"
"426","1718865","Santa Fé do Araguaia","TO","Média"
"427","1718881","Santa Maria do Tocantins","TO","Alta"
"428","1718899","Santa Rita do Tocantins","TO","Alta"
"429","1718907","Santa Rosa do Tocantins","TO","Alta"
"430","1719004","Santa Tereza do Tocantins","TO","Alta"
"431","1720002","Santa Terezinha do Tocantins","TO","Alta"
"432","1720101","São Bento do Tocantins","TO","Alta"
"433","1720150","São Félix do Tocantins","TO","Alta"
"434","1720200","São Miguel do Tocantins","TO","Máxima"
"435","1720259","São Salvador do Tocantins","TO","Média"
"436","1720309","São Sebastião do Tocantins","TO","Alta"
"437","1720499","São Valério","TO","Alta"
"438","1720655","Silvanópolis","TO","Alta"
"439","1720804","Sítio Novo do Tocantins","TO","Alta"
"440","1720853","Sucupira","TO","Alta"
"441","1720903","Taguatinga","TO","Alta"
"442","1720937","Taipas do Tocantins","TO","Alta"
"443","1720978","Talismã","TO","Média"
"444","1721000","Palmas","TO","Média"
"445","1721109","Tocantínia","TO","Média"
"446","1721208","Tocantinópolis","TO","Alta"
"447","1721257","Tupirama","TO","Alta"
"448","1721307","Tupiratins","TO","Alta"
"449","1722081","Wanderlândia","TO","Máxima"
"450","1722107","Xambioá","TO","Alta"
"451","2100055","Açailândia","MA","Baixa"
"452","2100105","Afonso Cunha","MA","Média"
"453","2100154","Água Doce do Maranhão","MA","Baixa"
"454","2100204","Alcântara","MA","Baixa"
"455","2100303","Aldeias Altas","MA","Média"
"456","2100402","Altamira do Maranhão","MA","Baixa"
"457","2100436","Alto Alegre do Maranhão","MA","Média"
"458","2100477","Alto Alegre do Pindaré","MA","Média"
"459","2100501","Alto Parnaíba","MA","Média"
"460","2100550","Amapá do Maranhão","MA","Baixa"
"461","2100600","Amarante do Maranhão","MA","Baixa"
"462","2100709","Anajatuba","MA","Baixa"
"463","2100808","Anapurus","MA","Média"
"464","2100832","Apicum-Açu","MA","Média"
"465","2100873","Araguanã","MA","Baixa"
"466","2100907","Araioses","MA","Baixa"
"467","2100956","Arame","MA","Média"
"468","2101004","Arari","MA","Baixa"
"469","2101103","Axixá","MA","Média"
"470","2101202","Bacabal","MA","Média"
"471","2101251","Bacabeira","MA","Média"
"472","2101301","Bacuri","MA","Baixa"
"473","2101350","Bacurituba","MA","Média"
"474","2101400","Balsas","MA","Média"
"475","2101509","Barão de Grajaú","MA","Média"
"476","2101608","Barra do Corda","MA","Média"
"477","2101707","Barreirinhas","MA","Mínima"
"478","2101731","Belágua","MA","Baixa"
"479","2101772","Bela Vista do Maranhão","MA","Média"
"480","2101806","Benedito Leite","MA","Média"
"481","2101905","Bequimão","MA","Alta"
"482","2101939","Bernardo do Mearim","MA","Média"
"483","2101970","Boa Vista do Gurupi","MA","Média"
"484","2102002","Bom Jardim","MA","Média"
"485","2102036","Bom Jesus das Selvas","MA","Média"
"486","2102077","Bom Lugar","MA","Média"
"487","2102101","Brejo","MA","Baixa"
"488","2102150","Brejo de Areia","MA","Média"
"489","2102200","Buriti","MA","Mínima"
"490","2102309","Buriti Bravo","MA","Média"
"491","2102325","Buriticupu","MA","Baixa"
"492","2102358","Buritirana","MA","Alta"
"493","2102374","Cachoeira Grande","MA","Média"
"494","2102408","Cajapió","MA","Baixa"
"495","2102507","Cajari","MA","Baixa"
"496","2102556","Campestre do Maranhão","MA","Alta"
"497","2102606","Cândido Mendes","MA","Baixa"
"498","2102705","Cantanhede","MA","Média"
"499","2102754","Capinzal do Norte","MA","Média"
"500","2102804","Carolina","MA","Baixa"
"501","2102903","Carutapera","MA","Baixa"
"502","2103000","Caxias","MA","Média"
"503","2103109","Cedral","MA","Média"
"504","2103125","Central do Maranhão","MA","Média"
"505","2103158","Centro do Guilherme","MA","Média"
"506","2103174","Centro Novo do Maranhão","MA","Baixa"
"507","2103208","Chapadinha","MA","Baixa"
"508","2103257","Cidelândia","MA","Média"
"509","2103307","Codó","MA","Média"
"510","2103406","Coelho Neto","MA","Média"
"511","2103505","Colinas","MA","Baixa"
"512","2103554","Conceição do Lago-Açu","MA","Média"
"513","2103604","Coroatá","MA","Média"
"514","2103703","Cururupu","MA","Média"
"515","2103752","Davinópolis","MA","Média"
"516","2103802","Dom Pedro","MA","Média"
"517","2103901","Duque Bacelar","MA","Média"
"518","2104008","Esperantinópolis","MA","Baixa"
"519","2104057","Estreito","MA","Alta"
"520","2104073","Feira Nova do Maranhão","MA","Média"
"521","2104081","Fernando Falcão","MA","Média"
"522","2104099","Formosa da Serra Negra","MA","Média"
"523","2104107","Fortaleza dos Nogueiras","MA","Média"
"524","2104206","Fortuna","MA","Média"
"525","2104305","Godofredo Viana","MA","Baixa"
"526","2104404","Gonçalves Dias","MA","Média"
"527","2104503","Governador Archer","MA","Média"
"528","2104552","Governador Edison Lobão","MA","Média"
"529","2104602","Governador Eugênio Barros","MA","Média"
"530","2104628","Governador Luiz Rocha","MA","Média"
"531","2104651","Governador Newton Bello","MA","Média"
"532","2104677","Governador Nunes Freire","MA","Baixa"
"533","2104701","Graça Aranha","MA","Média"
"534","2104800","Grajaú","MA","Alta"
"535","2104909","Guimarães","MA","Média"
"536","2105005","Humberto de Campos","MA","Mínima"
"537","2105104","Icatu","MA","Baixa"
"538","2105153","Igarapé do Meio","MA","Média"
"539","2105203","Igarapé Grande","MA","Baixa"
"540","2105302","Imperatriz","MA","Média"
"541","2105351","Itaipava do Grajaú","MA","Alta"
"542","2105401","Itapecuru Mirim","MA","Média"
"543","2105427","Itinga do Maranhão","MA","Alta"
"544","2105450","Jatobá","MA","Baixa"
"545","2105476","Jenipapo dos Vieiras","MA","Média"
"546","2105500","João Lisboa","MA","Média"
"547","2105609","Joselândia","MA","Média"
"548","2105658","Junco do Maranhão","MA","Média"
"549","2105708","Lago da Pedra","MA","Média"
"550","2105807","Lago do Junco","MA","Média"
"551","2105906","Lago Verde","MA","Média"
"552","2105922","Lagoa do Mato","MA","Média"
"553","2105948","Lago dos Rodrigues","MA","Média"
"554","2105963","Lagoa Grande do Maranhão","MA","Média"
"555","2105989","Lajeado Novo","MA","Média"
"556","2106003","Lima Campos","MA","Média"
"557","2106102","Loreto","MA","Alta"
"558","2106201","Luís Domingues","MA","Baixa"
"559","2106300","Magalhães de Almeida","MA","Média"
"560","2106326","Maracaçumé","MA","Média"
"561","2106359","Marajá do Sena","MA","Alta"
"562","2106375","Maranhãozinho","MA","Baixa"
"563","2106409","Mata Roma","MA","Média"
"564","2106508","Matinha","MA","Baixa"
"565","2106607","Matões","MA","Média"
"566","2106631","Matões do Norte","MA","Média"
"567","2106672","Milagres do Maranhão","MA","Média"
"568","2106706","Mirador","MA","Média"
"569","2106755","Miranda do Norte","MA","Baixa"
"570","2106805","Mirinzal","MA","Baixa"
"571","2106904","Monção","MA","Média"
"572","2107001","Montes Altos","MA","Média"
"573","2107100","Morros","MA","Média"
"574","2107209","Nina Rodrigues","MA","Média"
"575","2107258","Nova Colinas","MA","Média"
"576","2107308","Nova Iorque","MA","Baixa"
"577","2107357","Nova Olinda do Maranhão","MA","Baixa"
"578","2107407","Olho d'Água das Cunhãs","MA","Baixa"
"579","2107456","Olinda Nova do Maranhão","MA","Baixa"
"580","2107506","Paço do Lumiar","MA","Baixa"
"581","2107605","Palmeirândia","MA","Média"
"582","2107704","Paraibano","MA","Média"
"583","2107803","Parnarama","MA","Média"
"584","2107902","Passagem Franca","MA","Baixa"
"585","2108009","Pastos Bons","MA","Média"
"586","2108058","Paulino Neves","MA","Média"
"587","2108108","Paulo Ramos","MA","Baixa"
"588","2108207","Pedreiras","MA","Média"
"589","2108256","Pedro do Rosário","MA","Média"
"590","2108306","Penalva","MA","Mínima"
"591","2108405","Peri Mirim","MA","Baixa"
"592","2108454","Peritoró","MA","Média"
"593","2108504","Pindaré-Mirim","MA","Baixa"
"594","2108603","Pinheiro","MA","Baixa"
"595","2108702","Pio XII","MA","Média"
"596","2108801","Pirapemas","MA","Média"
"597","2108900","Poção de Pedras","MA","Média"
"598","2109007","Porto Franco","MA","Média"
"599","2109056","Porto Rico do Maranhão","MA","Média"
"600","2109106","Presidente Dutra","MA","Média"
"601","2109205","Presidente Juscelino","MA","Média"
"602","2109239","Presidente Médici","MA","Média"
"603","2109270","Presidente Sarney","MA","Baixa"
"604","2109304","Presidente Vargas","MA","Média"
"605","2109403","Primeira Cruz","MA","Média"
"606","2109452","Raposa","MA","Baixa"
"607","2109502","Riachão","MA","Média"
"608","2109551","Ribamar Fiquene","MA","Média"
"609","2109601","Rosário","MA","Média"
"610","2109700","Sambaíba","MA","Média"
"611","2109759","Santa Filomena do Maranhão","MA","Média"
