"","cod_municipio_ibge","qtd_ativas","qtd_ativas_Consórcio de Sociedades","qtd_ativas_Consórcio Simples","qtd_ativas_Cooperativa","qtd_ativas_EIRELI","qtd_ativas_Empresa Pública","qtd_ativas_Empresário Individual","qtd_ativas_Estabelecimento, no Brasil, de Sociedade Estrangeira e Empresas Binacionais","qtd_ativas_Grupo de Sociedades","qtd_ativas_Sociedade Anônima","qtd_ativas_Sociedade de Economia Mista","qtd_ativas_Sociedade em Comandita por Ações","qtd_ativas_Sociedade em Comandita Simples","qtd_ativas_Sociedade em Conta de Participação","qtd_ativas_Sociedade em Nome Coletivo","qtd_ativas_Sociedade Limitada","qtd_abertas","qtd_abertas_Consórcio de Sociedades","qtd_abertas_Consórcio Simples","qtd_abertas_Cooperativa","qtd_abertas_EIRELI","qtd_abertas_Empresa Pública","qtd_abertas_Empresário Individual","qtd_abertas_Estabelecimento, no Brasil, de Sociedade Estrangeira e Empresas Binacionais","qtd_abertas_Grupo de Sociedades","qtd_abertas_Sociedade Anônima","qtd_abertas_Sociedade de Economia Mista","qtd_abertas_Sociedade em Comandita por Ações","qtd_abertas_Sociedade em Comandita Simples","qtd_abertas_Sociedade em Conta de Participação","qtd_abertas_Sociedade em Nome Coletivo","qtd_abertas_Sociedade Limitada","qtd_tempo_horas","qtd_horas_Consórcio de Sociedades","qtd_horas_Consórcio Simples","qtd_horas_Cooperativa","qtd_horas_EIRELI","qtd_horas_Empresa Pública","qtd_horas_Empresário Individual","qtd_horas_Estabelecimento, no Brasil, de Sociedade Estrangeira e Empresas Binacionais","qtd_horas_Sociedade Anônima","qtd_horas_Sociedade de Economia Mista","qtd_horas_Sociedade em Comandita por Ações","qtd_horas_Sociedade em Comandita Simples","qtd_horas_Sociedade em Nome Coletivo","qtd_horas_Sociedade Limitada"
"3455","351640",11711,0,0,1,0,5,9764,0,0,42,7,0,0,18,0,1874,2683,0,0,0,0,0,2421,0,0,3,0,0,0,3,0,256,262.567205882353,0,0,17.72,3.17,0,222.79,0,34.75,0,0,0,0,303.18
"3456","351650",326,0,0,0,0,1,244,0,0,4,1,0,0,0,0,76,84,0,0,0,0,0,69,0,0,0,0,0,0,0,0,15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3457","351660",586,0,0,0,0,1,452,0,0,3,1,0,0,0,0,129,79,0,0,0,0,0,72,0,0,0,0,0,0,0,0,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3458","351670",5093,2,0,11,0,3,3730,0,0,25,1,0,0,0,1,1320,862,2,0,0,0,0,740,0,0,1,0,0,0,0,0,119,140.3825,0,0,0,0,0,139.47,0,166.26,0,0,0,0,140.06
"3459","351680",294,0,0,0,0,1,240,0,0,3,1,0,0,0,0,49,41,0,0,0,0,0,37,0,0,0,0,0,0,0,0,4,332.224444444444,0,0,0,0,0,71.25,0,0,0,0,0,0,854.16
"3460","351685",458,1,0,0,0,1,340,0,0,18,0,0,0,0,0,98,110,0,0,0,0,0,98,0,0,1,0,0,0,0,0,11,271.41,0,0,0,0,0,159.87,0,221.37,0,0,0,0,289.36
"3461","351690",1090,0,0,3,0,2,845,0,0,11,2,0,0,0,0,227,152,0,0,0,0,0,131,0,0,1,0,0,0,0,0,20,129.52625,0,0,0,330.98,0,22.24,0,46.49,0,0,0,0,209.07
"3462","351700",758,2,0,1,0,1,641,0,0,10,1,0,0,0,0,102,106,2,0,0,0,0,102,0,0,0,0,0,0,0,0,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3463","351710",381,0,0,0,0,1,276,0,0,5,2,0,0,0,0,97,61,0,0,0,0,0,55,0,0,0,0,0,0,0,0,6,99.8225,0,0,0,0,0,55.87,0,0,0,0,0,0,114.47
"3464","351720",1277,0,0,1,0,1,1083,0,0,9,1,0,0,0,0,182,272,0,0,0,0,0,258,0,0,0,0,0,0,0,0,14,141.5525,0,0,0,0,0,133.7,0,0,0,0,0,0,144.17
"3465","351730",568,0,0,2,0,1,490,0,0,7,0,0,0,0,0,68,113,0,0,0,0,0,107,0,0,0,0,0,0,0,0,6,64.9654545454545,0,0,0,0,0,71.79,0,78.1,0,0,0,0,58.23
"3466","351740",4338,0,0,18,0,2,3116,0,0,44,1,0,0,0,0,1157,639,0,0,3,0,0,493,0,0,1,0,0,0,0,0,142,277.532826086957,0,0,21.49,91.35,0,61.42,0,0,0,0,0,0,365.39
"3467","351750",2427,0,0,1,0,2,1809,0,0,9,1,0,0,0,1,604,501,0,0,1,0,0,425,0,0,0,0,0,0,0,0,75,135.657142857143,0,0,0,14.73,0,21.3,0,0,0,0,0,0,188.62
"3468","351760",1065,0,0,7,0,1,938,0,0,7,2,0,0,0,1,109,175,0,0,1,0,0,165,0,0,0,0,0,0,0,0,9,92.8765,0,0,8.26,64.27,0,55.86,0,0,0,0,0,0,153.3
"3469","351770",1847,2,0,7,0,3,1487,0,0,19,1,0,0,0,0,328,248,0,0,1,0,1,208,0,0,2,0,0,0,0,0,36,100.468235294118,0,0,87.07,0,28.19,115.2,0,35.99,0,0,0,0,103.83
"3470","351780",529,0,0,2,0,1,379,0,0,7,1,0,0,0,0,139,72,0,0,0,0,0,63,0,0,0,0,0,0,0,0,9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3471","351790",869,0,0,1,0,1,696,0,0,16,0,0,0,0,0,155,168,0,0,0,0,0,154,0,0,1,0,0,0,0,0,13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3472","351800",221,0,0,0,0,1,191,0,0,1,1,0,0,0,0,27,30,0,0,0,0,0,27,0,0,0,0,0,0,0,0,3,813.475,0,0,0,0,0,0,0,0,0,0,0,0,813.48
"3473","351810",576,1,0,2,0,1,454,0,0,6,1,0,0,0,0,111,99,0,0,1,0,0,88,0,0,0,0,0,0,0,0,10,57.1916666666667,0,0,1.92,0,0,54.03,0,0,0,0,0,0,63.94
"3474","351820",3216,0,0,3,0,2,2458,0,0,17,1,0,0,1,0,734,542,0,0,0,0,0,476,0,0,1,0,0,0,0,0,65,212.783902439024,0,0,0,14.6,0,99.89,0,16.08,0,0,0,0,295.21
"3475","351830",3713,0,0,5,0,2,2602,0,0,25,5,0,0,4,0,1070,706,0,0,0,0,0,584,0,0,6,0,0,0,0,0,116,526.275714285714,0,0,0,178.42,0,230.96,0,559.08,0,0,0,0,655.68
"3476","351840",13116,2,0,19,0,7,10397,0,0,99,3,0,0,3,0,2586,2981,0,0,2,0,0,2683,0,0,5,0,0,0,1,0,290,632.881126760563,0,0,37.27,836.13,0,426.04,0,75.25,0,0,0,0,784.1
"3477","351850",924,0,0,2,0,1,749,0,0,10,3,0,0,0,0,159,189,0,0,0,0,0,178,0,0,0,0,0,0,0,0,11,141.524347826087,0,0,0,0,0,141.47,0,168.26,0,0,0,0,138.92
"3478","351860",3994,0,0,13,0,2,3130,0,0,25,3,0,0,0,0,821,774,0,0,0,0,0,679,0,0,1,0,0,0,0,0,94,158.61375,0,0,0,0,0,79.43,0,14.14,0,0,0,0,193.15
"3479","351870",33828,5,0,25,0,9,28329,0,0,179,11,0,0,25,2,5243,6542,0,0,3,0,0,5890,0,0,9,0,0,0,2,0,638,631.093373493976,0,0,20.35,105.8,0,296.12,0,82.36,0,0,0,0,985.18
"3480","351880",158158,64,0,104,0,51,116823,57,3,1131,34,2,0,13,3,39873,32506,7,0,8,0,3,26996,4,0,96,0,0,0,3,0,5389,2423.42737226277,2.14,0,270.32,442.29,5.16,673.7,15.19,406.69,0,0,0,0,6377.02
"3481","351885",673,1,0,5,0,1,505,0,0,12,0,0,0,0,0,149,151,0,0,0,0,0,134,0,0,2,0,0,0,0,0,15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3482","351890",455,0,0,0,0,1,384,0,0,5,1,0,0,0,0,64,75,0,0,0,0,0,69,0,0,0,0,0,0,0,0,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3483","351900",792,0,0,3,0,1,646,0,0,6,1,0,0,1,0,134,142,0,0,0,0,0,131,0,0,1,0,0,0,0,0,10,81.7211764705882,0,0,0,39.69,0,108.62,0,21.72,0,0,0,0,75.13
"3484","351905",2242,0,0,11,0,2,1269,0,0,14,1,0,0,0,0,945,404,0,0,0,0,0,293,0,0,2,0,0,0,0,0,109,215.455454545455,0,0,0,0,0,39.88,0,0,0,0,0,0,233.01
"3485","351907",28438,9,0,13,0,8,22693,1,0,146,5,0,0,4,0,5559,6454,2,0,1,0,0,5722,0,0,10,0,0,0,0,0,719,725.414556962025,0,0,33.89,83.09,0,244.15,0,46.66,0,0,0,0,1133.02
"3486","351910",1366,1,0,1,0,1,1040,0,0,10,1,0,0,0,0,312,225,0,0,0,0,0,201,0,0,0,0,0,0,0,0,24,35.2694736842105,0,0,0,0,0,49.7,0,0,0,0,0,0,30.12
"3487","351920",591,0,0,2,0,1,411,0,0,6,1,0,0,0,0,170,102,0,0,0,0,0,85,0,0,0,0,0,0,0,0,17,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3488","351925",456,0,0,2,0,1,384,0,0,10,2,0,0,0,0,57,72,0,0,0,0,0,65,0,0,0,0,0,0,0,0,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3489","351930",3187,1,0,7,0,3,2449,0,0,17,1,0,0,0,0,709,557,0,0,1,0,1,448,0,0,0,0,0,0,0,0,107,186.84119047619,0,0,1.28,0,29.5,63.27,0,0,0,0,0,0,266.57
"3490","351940",1854,0,0,0,0,1,1352,0,0,54,3,0,0,0,0,444,264,0,0,0,0,0,213,0,0,0,0,0,0,0,0,51,169.581333333333,0,0,0,1153.08,0,47.73,0,1.72,0,0,0,0,171.36
"3491","351950",925,0,0,5,0,1,791,0,0,8,1,0,0,0,0,119,235,0,0,1,0,0,216,0,0,0,0,0,0,0,0,18,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3492","351960",8800,0,0,14,0,5,6955,0,0,32,1,0,0,1,1,1791,1650,0,0,2,0,1,1410,0,0,1,0,0,0,0,0,236,292.291384615385,0,0,0.86,129.35,19.12,179.25,0,3.49,0,0,0,0,377.73
"3493","351970",7086,0,0,14,0,4,5565,0,0,28,3,0,0,0,0,1472,1246,0,0,1,0,1,1093,0,0,2,0,0,0,0,0,149,179.4928125,0,0,0,18.67,4.03,82.55,0,27.71,0,0,0,0,257.05
"3494","351980",785,0,0,1,0,2,616,0,0,9,3,0,0,0,0,154,129,0,0,0,0,0,107,0,0,1,0,0,0,0,0,21,139.4236,0,0,0,0,0,42.39,0,866.83,0,0,0,0,149.15
"3495","351990",725,0,0,7,0,1,565,0,0,5,1,0,0,0,0,146,107,0,0,0,0,0,89,0,0,0,0,0,0,0,0,18,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3496","352000",2107,0,0,1,0,2,1723,0,0,10,1,0,0,0,0,370,419,0,0,1,0,0,393,0,0,1,0,0,0,0,0,24,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3497","352010",2411,0,0,8,0,3,1807,0,0,32,3,0,0,0,0,558,379,0,0,1,0,1,317,0,0,2,0,0,0,0,0,58,98.8580434782609,0,0,74.94,126.3,24.18,43.44,0,119.98,0,0,0,0,126.04
"3498","352020",1357,1,0,1,0,1,1068,0,0,8,1,0,0,0,0,277,295,1,0,0,0,0,259,0,0,0,0,0,0,0,0,35,116.235277777778,0,0,0,0,0,87.99,0,0,0,0,0,0,132.2
"3499","352030",2688,0,0,4,0,2,2361,0,0,8,3,0,0,5,0,305,497,0,0,0,0,0,465,0,0,0,0,0,0,0,0,32,122.277857142857,0,0,0,65.01,0,103.21,0,0,0,0,0,0,133.32
"3500","352040",5402,1,0,6,0,2,4259,0,0,16,6,0,0,2,0,1110,955,1,0,2,0,0,816,0,0,0,1,0,0,0,0,135,180.973653846154,0,0,17.65,1.21,0,84.95,0,0,0,0,0,0,240.84
