codigo_municipio_ibge,pib_per_capita_preco_corrente,atividade_maior_valor_ad_bruto
130180,6363.46,"Administração, defesa, educação e saúde públicas e seguridade social"
130185,14855.29,"Administração, defesa, educação e saúde públicas e seguridade social"
130190,22140.55,Demais serviços
130195,13758.73,"Administração, defesa, educação e saúde públicas e seguridade social"
130200,14541.96,"Administração, defesa, educação e saúde públicas e seguridade social"
130210,28047.08,"Administração, defesa, educação e saúde públicas e seguridade social"
130220,8093.56,"Administração, defesa, educação e saúde públicas e seguridade social"
130230,18207.98,"Administração, defesa, educação e saúde públicas e seguridade social"
130240,11856.93,"Administração, defesa, educação e saúde públicas e seguridade social"
130250,14543.88,"Administração, defesa, educação e saúde públicas e seguridade social"
130255,8305.92,"Administração, defesa, educação e saúde públicas e seguridade social"
130260,41345.11,Indústrias de transformação
130270,10981.24,"Administração, defesa, educação e saúde públicas e seguridade social"
130280,8150.3,"Administração, defesa, educação e saúde públicas e seguridade social"
130290,8703.05,"Administração, defesa, educação e saúde públicas e seguridade social"
130300,8660.31,"Administração, defesa, educação e saúde públicas e seguridade social"
130310,7730.57,"Administração, defesa, educação e saúde públicas e seguridade social"
130320,8750.36,"Administração, defesa, educação e saúde públicas e seguridade social"
130330,8431.61,"Administração, defesa, educação e saúde públicas e seguridade social"
130340,11448.73,"Administração, defesa, educação e saúde públicas e seguridade social"
130350,8970.3,"Administração, defesa, educação e saúde públicas e seguridade social"
130353,22304.99,Indústrias extrativas
130356,10982.88,"Administração, defesa, educação e saúde públicas e seguridade social"
130360,6079.84,"Administração, defesa, educação e saúde públicas e seguridade social"
130370,9822.89,"Administração, defesa, educação e saúde públicas e seguridade social"
130380,8133.7,"Administração, defesa, educação e saúde públicas e seguridade social"
130390,7539.8,"Administração, defesa, educação e saúde públicas e seguridade social"
130395,8913.14,"Administração, defesa, educação e saúde públicas e seguridade social"
130400,14497.22,"Administração, defesa, educação e saúde públicas e seguridade social"
130406,9724.24,"Administração, defesa, educação e saúde públicas e seguridade social"
130410,12857.93,"Administração, defesa, educação e saúde públicas e seguridade social"
130420,15811.86,"Administração, defesa, educação e saúde públicas e seguridade social"
130423,8395.52,"Administração, defesa, educação e saúde públicas e seguridade social"
130426,14985.24,"Agricultura, inclusive apoio à agricultura e a pós colheita"
130430,19023.02,"Produção florestal, pesca e aquicultura"
130440,8301.07,"Administração, defesa, educação e saúde públicas e seguridade social"
140002,15021.27,"Administração, defesa, educação e saúde públicas e seguridade social"
140005,26637.07,"Administração, defesa, educação e saúde públicas e seguridade social"
140010,28180.99,"Administração, defesa, educação e saúde públicas e seguridade social"
140015,33246.22,"Agricultura, inclusive apoio à agricultura e a pós colheita"
140017,17295.69,"Administração, defesa, educação e saúde públicas e seguridade social"
140020,18420.7,"Administração, defesa, educação e saúde públicas e seguridade social"
140023,21925.94,"Administração, defesa, educação e saúde públicas e seguridade social"
140028,14820.05,"Administração, defesa, educação e saúde públicas e seguridade social"
140030,19185.75,"Administração, defesa, educação e saúde públicas e seguridade social"
140040,16892.62,"Administração, defesa, educação e saúde públicas e seguridade social"
140045,15358.91,"Administração, defesa, educação e saúde públicas e seguridade social"
140047,20688.53,"Administração, defesa, educação e saúde públicas e seguridade social"
140050,31400.66,"Administração, defesa, educação e saúde públicas e seguridade social"
140060,20364.42,"Administração, defesa, educação e saúde públicas e seguridade social"
140070,11985.64,"Administração, defesa, educação e saúde públicas e seguridade social"
150010,10413.48,"Administração, defesa, educação e saúde públicas e seguridade social"
150013,12780.87,"Administração, defesa, educação e saúde públicas e seguridade social"
150020,15840.52,"Agricultura, inclusive apoio à agricultura e a pós colheita"
150030,11075.99,"Administração, defesa, educação e saúde públicas e seguridade social"
150034,19236.57,"Pecuária, inclusive apoio à pecuária"
150040,12114.02,"Administração, defesa, educação e saúde públicas e seguridade social"
150050,18417.18,"Administração, defesa, educação e saúde públicas e seguridade social"
150060,22044.21,Demais serviços
150070,7703.25,"Administração, defesa, educação e saúde públicas e seguridade social"
150080,15201.46,Demais serviços
150085,18232.72,"Administração, defesa, educação e saúde públicas e seguridade social"
150090,7874.67,"Administração, defesa, educação e saúde públicas e seguridade social"
150095,8419.97,"Administração, defesa, educação e saúde públicas e seguridade social"
150100,8461.75,"Administração, defesa, educação e saúde públicas e seguridade social"
150110,7433.19,"Administração, defesa, educação e saúde públicas e seguridade social"
150120,12704.23,"Agricultura, inclusive apoio à agricultura e a pós colheita"
150125,30851.86,"Pecuária, inclusive apoio à pecuária"
150130,58550.4,Indústrias de transformação
150140,20562.1,Demais serviços
150145,10460.11,"Administração, defesa, educação e saúde públicas e seguridade social"
150150,26267.84,Indústrias de transformação
150157,12141.3,"Administração, defesa, educação e saúde públicas e seguridade social"
150160,11473.87,"Administração, defesa, educação e saúde públicas e seguridade social"
150170,10682.63,"Administração, defesa, educação e saúde públicas e seguridade social"
150172,21505.04,"Administração, defesa, educação e saúde públicas e seguridade social"
150175,12026.82,"Administração, defesa, educação e saúde públicas e seguridade social"
150178,10220.8,"Administração, defesa, educação e saúde públicas e seguridade social"
150180,8185.99,"Administração, defesa, educação e saúde públicas e seguridade social"
150190,16596.7,"Agricultura, inclusive apoio à agricultura e a pós colheita"
150195,6231.85,"Administração, defesa, educação e saúde públicas e seguridade social"
150200,9575.58,"Administração, defesa, educação e saúde públicas e seguridade social"
150210,9561.65,"Administração, defesa, educação e saúde públicas e seguridade social"
150215,591101.11,Indústrias extrativas
150220,17673.47,Demais serviços
150230,12951.42,"Agricultura, inclusive apoio à agricultura e a pós colheita"
150240,21122.55,Demais serviços
150250,9117.43,"Administração, defesa, educação e saúde públicas e seguridade social"
150260,7669.86,"Administração, defesa, educação e saúde públicas e seguridade social"
150270,12955.95,"Administração, defesa, educação e saúde públicas e seguridade social"
150275,9548.28,"Administração, defesa, educação e saúde públicas e seguridade social"
150276,29652.99,"Pecuária, inclusive apoio à pecuária"
150277,36114.66,Indústrias extrativas
150280,7626.05,"Administração, defesa, educação e saúde públicas e seguridade social"
150285,9612.22,"Administração, defesa, educação e saúde públicas e seguridade social"
150290,8140.03,"Administração, defesa, educação e saúde públicas e seguridade social"
150293,12952.18,"Administração, defesa, educação e saúde públicas e seguridade social"
150295,15342.53,"Administração, defesa, educação e saúde públicas e seguridade social"
150300,8992.73,"Administração, defesa, educação e saúde públicas e seguridade social"
150304,20176.54,"Agricultura, inclusive apoio à agricultura e a pós colheita"
150307,9819.43,"Administração, defesa, educação e saúde públicas e seguridade social"
150309,9054.66,"Administração, defesa, educação e saúde públicas e seguridade social"
150310,8722.93,"Administração, defesa, educação e saúde públicas e seguridade social"
150320,9718.81,"Administração, defesa, educação e saúde públicas e seguridade social"
150330,9957.57,"Administração, defesa, educação e saúde públicas e seguridade social"
150340,13134.72,"Administração, defesa, educação e saúde públicas e seguridade social"
150345,9252.6,"Administração, defesa, educação e saúde públicas e seguridade social"
150350,7643.05,"Administração, defesa, educação e saúde públicas e seguridade social"
150360,25900.08,Demais serviços
150370,12339.48,"Administração, defesa, educação e saúde públicas e seguridade social"
150375,75936.8,"Eletricidade e gás, água, esgoto, atividades de gestão de resíduos e descontaminação"
150380,8846.22,"Administração, defesa, educação e saúde públicas e seguridade social"
150390,23180.49,Indústrias extrativas
150400,16551.6,"Produção florestal, pesca e aquicultura"
150405,10719.26,"Administração, defesa, educação e saúde públicas e seguridade social"
150410,10870.62,"Administração, defesa, educação e saúde públicas e seguridade social"
150420,45602.1,Indústrias extrativas
150430,8655.11,"Administração, defesa, educação e saúde públicas e seguridade social"
150440,8701.2,"Administração, defesa, educação e saúde públicas e seguridade social"
150442,15576.91,"Administração, defesa, educação e saúde públicas e seguridade social"
150445,27408.74,"Agricultura, inclusive apoio à agricultura e a pós colheita"
150450,7035,"Administração, defesa, educação e saúde públicas e seguridade social"
150460,15738.68,"Agricultura, inclusive apoio à agricultura e a pós colheita"
150470,15227.44,"Agricultura, inclusive apoio à agricultura e a pós colheita"
