SG_UF,CD_MUNICIPIO,NM_MUNICIPIO,bolsonaro,lula,branco,nulo,bolsonaro_perc,lula_perc,codigo_ibge,cod_uf,codigo_ibge_dv
AL,27693,JACUÍPE,1050,2722,53,228,0.259067357512953,0.671601283000247,27693,27,272769
AL,27715,JAPARATINGA,2766,2300,76,275,0.510614731401145,0.424589256045782,27715,27,272771
AL,27731,JARAMATAIA,760,2802,33,224,0.199004975124378,0.733699921445405,27731,27,272773
AL,27758,JOAQUIM GOMES,2751,6755,122,667,0.267217095677513,0.656143759106362,27758,27,272775
AL,27774,JUNDIÁ,1010,1756,36,174,0.339381720430108,0.59005376344086,27774,27,272777
AL,27790,JUNQUEIRO,4665,9065,228,768,0.316786635882113,0.615577889447236,27790,27,272779
AL,27812,LAGOA DA CANOA,3278,8000,149,651,0.271402550091075,0.662361318099023,27812,27,272781
AL,27839,LIMOEIRO DE ANADIA,3331,10488,164,800,0.22532638841913,0.709463573023067,27839,27,272783
AL,27855,MACEIÓ,273549,204887,7588,26770,0.533448129268283,0.399550306750859,27855,27,272785
AL,27871,MAJOR ISIDORO,3361,7106,128,647,0.298968155132539,0.632093933463797,27871,27,272787
AL,27898,MARAGOGI,9451,6924,232,852,0.54132539091586,0.396586287874449,27898,27,272789
AL,27910,MARAVILHA,1122,4326,72,314,0.192320877613987,0.741515255399383,27910,27,272791
AL,27936,MARECHAL DEODORO,16560,13267,383,1749,0.518163897493664,0.41512562971307,27936,27,272793
AL,27952,MARIBONDO,2425,4770,95,472,0.312419479515589,0.61453233702654,27952,27,272795
AL,27979,MAR VERMELHO,752,1871,18,144,0.270017953321364,0.67181328545781,27979,27,272797
AL,27995,MATA GRANDE,1976,9251,129,725,0.163562618988494,0.765747868553928,27995,27,272799
AL,28010,MATRIZ DE CAMARAGIBE,6803,5615,199,759,0.508597488038278,0.419781698564593,28010,27,272801
AL,28037,MESSIAS,3936,5542,142,555,0.386830466830467,0.544668304668305,28037,27,272803
AL,28053,MINADOR DO NEGRÃO,880,2489,34,255,0.240568616730454,0.68042646254784,28053,27,272805
AL,28070,MONTEIRÓPOLIS,900,3086,56,233,0.210526315789474,0.72187134502924,28070,27,272807
AL,28096,MURICI,4827,8202,250,1086,0.336025060911939,0.570971110337626,28096,27,272809
AL,28118,NOVO LINO,3067,3065,79,348,0.467601768562281,0.467296844031102,28118,27,272811
AL,28134,OLHO D ÁGUA DAS FLORES,3906,7232,114,625,0.328870927001768,0.608907973393955,28134,27,272813
AL,28150,OLHO D ÁGUA DO CASADO,597,4553,37,325,0.108309143686502,0.826015965166909,28150,27,272815
AL,28177,OLHO D ÁGUA GRANDE,557,2637,39,159,0.164209905660377,0.777417452830189,28177,27,272817
AL,28193,OLIVENÇA,1675,5074,60,413,0.23193021323733,0.702575463860427,28193,27,272819
AL,28215,OURO BRANCO,1416,5393,70,341,0.19612188365651,0.746952908587258,28215,27,272821
AL,28231,PALESTINA,658,2354,35,141,0.206398996235885,0.738393977415307,28231,27,272823
AL,28258,PALMEIRA DOS ÍNDIOS,13468,23869,483,2318,0.335542378793164,0.594673376849868,28258,27,272825
AL,28274,PÃO DE AÇÚCAR,2966,9656,159,602,0.221624448927744,0.72151236643503,28274,27,272827
AL,28290,PASSO DE CAMARAGIBE,3388,5016,122,409,0.379182988248461,0.561387800783436,28290,27,272829
AL,28312,PAULO JACINTO,1247,3059,59,292,0.26776894996779,0.656860639896929,28312,27,272831
AL,28339,PENEDO,10513,18554,400,1401,0.340579240637553,0.601075547492549,28339,27,272833
AL,28355,PIAÇABUÇU,3013,6131,113,425,0.311196033877298,0.633236934517662,28355,27,272835
AL,28371,PILAR,8763,11002,313,1199,0.411853174789679,0.517084175400667,28371,27,272837
AL,28398,PINDOBA,594,1261,16,141,0.295228628230616,0.626739562624255,28398,27,272839
AL,28410,PIRANHAS,1990,11134,100,778,0.142122553920868,0.795172118268819,28410,27,272841
AL,28436,POÇO DAS TRINCHEIRAS,1027,6302,87,429,0.130911408540472,0.803314212874442,28436,27,272843
AL,28452,PORTO CALVO,7277,6616,207,785,0.488881424252603,0.444474302989587,28452,27,272845
AL,28479,PORTO DE PEDRAS,2237,2725,53,234,0.426176414555153,0.519146504096018,28479,27,272847
AL,28495,PORTO REAL DO COLÉGIO,2405,9211,147,499,0.196134398956125,0.751182515087261,28495,27,272849
AL,28517,QUEBRANGULO,1733,5173,60,366,0.236361156573923,0.705537370430987,28517,27,272851
AL,28533,RIO LARGO,22173,24037,839,2509,0.44741514992534,0.485027644376286,28533,27,272853
AL,28550,ROTEIRO,1462,2250,65,274,0.360898543569489,0.555418415206122,28550,27,272855
AL,28576,SANTA LUZIA DO NORTE,1753,2859,69,268,0.35421297231764,0.577692463123863,28576,27,272857
AL,28592,SANTANA DO IPANEMA,6028,17056,284,1431,0.243074317512803,0.68776966813178,28592,27,272859
AL,28614,SANTANA DO MUNDAÚ,1438,4843,76,386,0.213258193682337,0.718226308764645,28614,27,272861
AL,28630,SÃO BRÁS,1211,3478,64,123,0.248359310910582,0.713289581624282,28630,27,272863
AL,28657,SÃO JOSÉ DA LAJE,4825,7030,152,734,0.378698689270858,0.551762028098266,28657,27,272865
AL,28673,SÃO JOSÉ DA TAPERA,2721,11431,227,1093,0.175866080661841,0.738818510858325,28673,27,272867
AL,28690,SÃO LUÍS DO QUITUNDE,7169,8389,239,898,0.429410002994909,0.502485774183887,28690,27,272869
AL,28711,SÃO MIGUEL DOS CAMPOS,14924,15449,388,1781,0.458607338209084,0.474740335566345,28711,27,272871
AL,28738,SÃO MIGUEL DOS MILAGRES,2447,2648,72,254,0.451392731968272,0.488470761852057,28738,27,272873
AL,28754,SÃO SEBASTIÃO,4612,13701,257,961,0.236137422559009,0.701500179202294,28754,27,272875
AL,28770,SATUBA,4973,4646,125,466,0.487071498530852,0.455044074436827,28770,27,272877
AL,28797,TANQUE D ARCA,609,3053,40,213,0.155555555555556,0.779821200510856,28797,27,272879
AL,28819,TAQUARANA,2178,7751,144,658,0.202963377131675,0.722299878855652,28819,27,272881
AL,28835,TRAIPU,2371,9934,139,791,0.179146203248961,0.75058556856819,28835,27,272883
AL,28851,UNIÃO DOS PALMARES,11875,19944,399,1862,0.348444835680751,0.585211267605634,28851,27,272885
AL,28878,VIÇOSA,4960,9237,198,837,0.32563025210084,0.606420693277311,28878,27,272887
AL,28894,CRAÍBAS,3062,11494,202,943,0.195019425514298,0.732055283102987,28894,27,272889
AL,28916,SENADOR RUI PALMEIRA,1001,5282,67,428,0.147683682502213,0.779285925051638,28916,27,272891
AL,28932,TEOTÔNIO VILELA,7062,12904,333,1323,0.326611784293775,0.59679955600777,28932,27,272893
AM,2003,APUÍ,4924,2809,46,241,0.613965087281796,0.350249376558604,02003,13,130200
AM,2011,NOVO AIRÃO,3727,4166,46,299,0.452415634862831,0.505705268268997,02011,13,130201
AM,2020,GUAJARÁ,4407,2891,62,322,0.573678729497527,0.376334287945847,02020,13,130202
AM,2038,ANORI,3036,4010,52,298,0.410492157923202,0.542184964845863,02038,13,130203
AM,2046,CAREIRO DA VÁRZEA,4183,6982,84,512,0.355667035116062,0.593657001955616,02046,13,130204
AM,2054,ATALAIA DO NORTE,1136,4660,22,256,0.187026671056964,0.767204478103392,02054,13,130205
AM,2070,AUTAZES,6806,12283,129,909,0.338152730163462,0.610274755303821,02070,13,130207
AM,2097,BARCELOS,2483,4616,31,381,0.330581813340434,0.614565304220477,02097,13,130209
AM,2119,BARREIRINHA,1327,14079,47,576,0.0827874477509514,0.878345498783455,02119,13,130211
AM,2135,BENJAMIN CONSTANT,2623,13370,91,790,0.155446248666588,0.792343249970369,02135,13,130213
AM,2151,BOCA DO ACRE,8499,7050,145,790,0.515590876000971,0.427687454501335,02151,13,130215
AM,2178,BORBA,3281,12371,89,630,0.200415368639668,0.755665506077821,02178,13,130217
AM,2194,CANUTAMA,2951,3539,49,291,0.432064421669107,0.518155197657394,02194,13,130219
AM,2216,CARAUARI,2936,10998,125,652,0.19957854666576,0.747603833865815,02216,13,130221
AM,2232,CAREIRO,5570,9949,139,796,0.338519508933998,0.604655402941534,02232,13,130223
AM,2259,COARI,12829,19841,229,1359,0.374481872847218,0.579163990892638,02259,13,130225
AM,2275,CODAJÁS,4206,6403,51,395,0.380461329715061,0.579194934418815,02275,13,130227
AM,2291,EIRUNEPÉ,3653,10435,173,887,0.24115394771587,0.688869817797729,02291,13,130229
AM,2313,ENVIRA,1971,5064,107,437,0.260060694022958,0.668162026652593,02313,13,130231
AM,2330,FONTE BOA,2480,8421,54,484,0.21680216802168,0.736165748754262,02330,13,130233
AM,2356,HUMAITÁ,10935,12406,178,724,0.451058037371612,0.511735346285526,02356,13,130235
AM,2372,SANTA ISABEL DO RIO NEGRO,1305,3703,29,249,0.246878547105562,0.700529701097238,02372,13,130237
AM,2399,IPIXUNA,2264,4833,91,542,0.292884864165589,0.62522639068564,02399,13,130239
AM,2410,ITACOATIARA,17807,31621,418,1705,0.34542491901224,0.613392562704894,02410,13,130241
AM,2437,ITAPIRANGA,2457,3538,30,208,0.394192202791593,0.567623937108936,02437,13,130243
AM,2453,JAPURÁ,1128,1774,27,143,0.3671875,0.577473958333333,02453,13,130245
AM,2470,JURUÁ,1801,2870,67,283,0.358693487353117,0.571599283011352,02470,13,130247
AM,2496,JUTAÍ,2222,6872,89,563,0.227990970654628,0.705109788631233,02496,13,130249
AM,2518,LÁBREA,6242,11683,115,817,0.331017659224691,0.619557723922151,02518,13,130251
AM,2534,MANACAPURU,23667,28386,431,2173,0.433009495581536,0.519347933476042,02534,13,130253
AM,2550,MANAUS,692580,437691,15701,44981,0.581534283888617,0.367513243595675,02550,13,130255
AM,2577,MANICORÉ,8056,15172,116,659,0.33562471357747,0.632087655709703,02577,13,130257
AM,2593,MARAÃ,1433,3785,36,228,0.26140094855892,0.690441444728201,02593,13,130259
AM,2615,MAUÉS,3701,21003,123,854,0.144114325766131,0.817841984346404,02615,13,130261
AM,2631,NHAMUNDÁ,1457,8939,57,288,0.135648449865003,0.832231635788102,02631,13,130263
AM,2658,NOVA OLINDA DO NORTE,2673,10114,92,562,0.19886913176103,0.752473774272748,02658,13,130265
AM,2674,NOVO ARIPUANÃ,2105,6747,50,347,0.227592172126716,0.729484268569575,02674,13,130267
AM,2690,PARINTINS,8809,41689,382,1428,0.168406362315516,0.796990900053529,02690,13,130269
AM,2712,PAUINI,2237,4838,34,301,0.301889338731444,0.652901484480432,02712,13,130271
AM,2739,SANTO ANTÔNIO DO IÇÁ,3150,8849,50,588,0.249268022473688,0.700245311387196,02739,13,130273
AM,2755,SÃO PAULO DE OLIVENÇA,2231,11922,64,615,0.150418015102481,0.803802588996764,02755,13,130275
AM,2771,SILVES,1081,4771,32,187,0.178059627738429,0.785867237687366,02771,13,130277
AM,2798,TAPAUÁ,3967,4648,51,433,0.435981976041323,0.510825365424772,02798,13,130279
