iter	Passed	Remaining
411	5225	7458
412	5239	7446
413	5250	7432
414	5264	7421
415	5274	7404
416	5289	7394
417	5299	7378
418	5313	7367
419	5326	7355
420	5337	7341
421	5352	7331
422	5363	7315
423	5376	7303
424	5392	7296
425	5403	7280
426	5414	7266
427	5426	7251
428	5437	7237
429	5451	7226
430	5463	7212
431	5474	7197
432	5486	7185
433	5499	7171
434	5511	7159
435	5529	7153
436	5543	7141
437	5555	7128
438	5569	7116
439	5578	7099
440	5594	7090
441	5606	7077
442	5619	7065
443	5636	7057
444	5647	7044
445	5664	7035
446	5680	7027
447	5690	7011
448	5702	6997
449	5714	6984
450	5730	6975
451	5743	6963
452	5753	6947
453	5766	6935
454	5781	6924
455	5796	6914
456	5811	6905
457	5823	6891
458	5834	6877
459	5845	6861
460	5862	6854
461	5873	6840
462	5888	6830
463	5902	6817
464	5915	6805
465	5927	6792
466	5938	6777
467	5950	6764
468	5963	6752
469	5975	6738
470	5985	6722
471	5996	6708
472	6009	6695
473	6021	6681
474	6031	6665
475	6045	6654
476	6056	6640
477	6069	6628
478	6084	6617
479	6096	6604
480	6108	6591
481	6119	6576
482	6134	6565
483	6144	6550
484	6156	6537
485	6171	6526
486	6184	6514
487	6196	6501
488	6208	6487
489	6219	6473
490	6232	6460
491	6244	6447
492	6256	6434
493	6271	6424
494	6284	6411
495	6300	6402
496	6315	6392
497	6325	6376
498	6335	6360
499	6347	6347
500	6357	6331
501	6367	6316
502	6378	6302
503	6391	6289
504	6404	6277
505	6416	6263
506	6428	6250
507	6442	6239
508	6452	6224
509	6465	6211
510	6476	6197
511	6490	6186
512	6506	6177
513	6522	6167
514	6537	6156
515	6556	6149
516	6567	6135
517	6580	6123
518	6593	6110
519	6605	6097
520	6617	6084
521	6635	6075
522	6645	6061
523	6658	6048
524	6673	6038
525	6684	6023
526	6695	6009
527	6709	5998
528	6720	5983
529	6731	5969
530	6743	5956
531	6754	5941
532	6765	5927
533	6780	5916
534	6792	5903
535	6803	5889
536	6818	5878
537	6830	5865
538	6840	5850
539	6855	5839
540	6864	5824
541	6873	5808
542	6882	5792
543	6896	5781
544	6907	5766
545	6924	5757
546	6940	5747
547	6955	5736
548	6969	5725
549	6981	5712
550	6996	5701
551	7011	5690
552	7026	5679
553	7040	5667
554	7054	5656
555	7066	5643
556	7080	5631
557	7098	5622
558	7113	5611
559	7124	5597
560	7137	5585
561	7151	5573
562	7168	5563
563	7181	5551
564	7192	5537
565	7204	5523
566	7217	5511
567	7226	5496
568	7238	5482
569	7249	5468
570	7260	5454
571	7272	5441
572	7284	5428
573	7295	5414
574	7309	5402
575	7321	5389
576	7332	5375
577	7344	5362
578	7357	5350
579	7372	5339
580	7384	5325
581	7396	5311
582	7408	5298
583	7422	5287
584	7435	5274
585	7447	5261
586	7462	5250
587	7473	5236
588	7485	5223
589	7497	5210
590	7512	5198
591	7523	5184
592	7533	5170
593	7551	5161
594	7561	5147
595	7573	5133
596	7588	5122
597	7604	5112
598	7620	5101
599	7632	5088
600	7644	5075
601	7657	5062
602	7671	5050
603	7682	5036
604	7692	5022
605	7704	5009
606	7714	4994
607	7724	4980
608	7735	4966
609	7748	4954
610	7761	4941
611	7772	4927
612	7791	4918
613	7807	4908
614	7820	4895
615	7831	4882
616	7843	4868
617	7855	4855
618	7867	4842
619	7879	4829
620	7893	4817
621	7905	4804
622	7921	4793
623	7937	4782
624	7949	4769
625	7962	4757
626	7974	4743
627	7988	4731
628	7999	4718
629	8011	4705
630	8023	4692
631	8035	4678
632	8048	4666
633	8060	4653
634	8070	4638
635	8083	4626
636	8094	4612
637	8103	4598
638	8116	4585
639	8129	4572
640	8140	4559
641	8153	4546
642	8164	4533
643	8180	4522
644	8191	4508
645	8205	4496
646	8218	4483
647	8233	4472
648	8247	4460
649	8259	4447
650	8271	4434
651	8284	4421
652	8295	4407
653	8306	4394
654	8318	4381
655	8328	4367
656	8339	4353
657	8354	4342
658	8365	4328
659	8376	4315
660	8386	4301
661	8399	4288
662	8413	4276
663	8428	4265
664	8446	4255
665	8458	4241
666	8470	4229
667	8484	4217
668	8494	4203
669	8511	4192
670	8523	4179
671	8536	4166
672	8552	4155
673	8568	4144
674	8581	4131
675	8594	4119
676	8609	4107
677	8618	4093
678	8632	4081
679	8643	4067
680	8656	4054
681	8667	4041
682	8680	4028
683	8693	4016
684	8706	4003
685	8721	3991
686	8732	3978
687	8746	3966
688	8760	3954
689	8772	3941
690	8782	3927
691	8793	3913
692	8805	3900
693	8817	3887
694	8830	3875
695	8843	3862
696	8856	3850
697	8868	3837
698	8879	3823
699	8896	3812
700	8916	3803
701	8931	3791
702	8945	3779
703	8962	3768
704	8974	3755
705	8987	3742
706	9004	3731
707	9020	3720
708	9031	3706
709	9046	3694
710	9062	3683
711	9076	3671
712	9093	3660
713	9104	3646
714	9117	3634
715	9131	3621
716	9143	3609
717	9155	3595
718	9166	3582
719	9181	3570
720	9191	3556
721	9206	3544
722	9223	3533
723	9236	3521
724	9248	3508
725	9269	3498
726	9279	3484
727	9290	3471
728	9301	3457
729	9312	3444
730	9326	3431
731	9337	3418
732	9349	3405
733	9363	3393
734	9378	3381
735	9393	3369
736	9409	3357
737	9420	3344
738	9431	3331
739	9446	3318
740	9460	3306
741	9474	3294
742	9488	3281
743	9499	3268
744	9513	3256
745	9525	3243
746	9536	3230
747	9549	3217
748	9563	3204
749	9577	3192
750	9593	3180
751	9605	3167
752	9618	3155
753	9632	3142
754	9644	3129
755	9656	3116
756	9666	3103
757	9681	3090
758	9697	3079
759	9711	3066
760	9722	3053
761	9737	3041
762	9750	3028
763	9758	3014
764	9770	3001
765	9786	2989
766	9798	2976
767	9811	2963
768	9821	2950
769	9834	2937
770	9845	2924
771	9856	2911
772	9869	2898
773	9880	2885
774	9892	2871
775	9904	2859
776	9914	2845
777	9926	2832
778	9939	2819
779	9953	2807
780	9964	2794
781	9976	2781
782	9991	2769
783	10003	2755
784	10015	2743
785	10027	2730
786	10039	2717
787	10052	2704
788	10067	2692
789	10084	2680
790	10095	2667
791	10106	2654
792	10117	2641
793	10131	2628
794	10145	2616
795	10157	2603
796	10169	2590
797	10179	2576
798	10189	2563
799	10200	2550
800	10212	2537
801	10229	2525
802	10242	2512
803	10256	2500
804	10269	2487
805	10281	2474
806	10296	2462
807	10310	2450
808	10321	2436
809	10333	2423
810	10349	2411
811	10359	2398
812	10371	2385
813	10385	2373
814	10397	2360
815	10408	2347
816	10420	2333
817	10431	2320
818	10443	2308
819	10458	2295
820	10470	2282
821	10481	2269
822	10495	2257
823	10509	2244
824	10524	2232
825	10540	2220
826	10556	2208
827	10573	2196
828	10585	2183
829	10594	2170
830	10611	2158
831	10631	2146
832	10641	2133
833	10656	2121
834	10667	2107
835	10680	2095
836	10692	2082
837	10704	2069
838	10713	2055
839	10728	2043
840	10742	2030
841	10755	2018
842	10767	2005
843	10782	1993
844	10797	1980
845	10810	1967
846	10820	1954
847	10830	1941
848	10840	1928
849	10855	1915
850	10867	1902
851	10882	1890
852	10892	1877
853	10904	1864
854	10917	1851
855	10932	1839
856	10948	1826
857	10960	1813
858	10970	1800
859	10983	1788
860	10996	1775
861	11005	1761
862	11014	1748
863	11026	1735
864	11040	1723
865	11051	1710
866	11065	1697
867	11075	1684
868	11088	1671
869	11096	1658
870	11109	1645
871	11121	1632
872	11135	1619
873	11148	1607
874	11162	1594
875	11171	1581
876	11183	1568
877	11195	1555
878	11211	1543
879	11222	1530
880	11234	1517
881	11246	1504
882	11257	1491
883	11271	1479
884	11284	1466
885	11298	1453
886	11310	1440
887	11322	1428
888	11331	1414
889	11343	1402
890	11356	1389
891	11366	1376
892	11377	1363
893	11388	1350
894	11400	1337
895	11410	1324
896	11423	1311
897	11435	1298
898	11447	1286
899	11465	1273
900	11478	1261
901	11489	1248
902	11502	1235
903	11531	1224
904	11545	1211
905	11560	1199
906	11568	1186
907	11578	1173
908	11590	1160
909	11603	1147
910	11612	1134
911	11624	1121
912	11634	1108
913	11647	1095
914	11660	1083
915	11672	1070
916	11686	1057
917	11697	1044
918	11708	1031
919	11721	1019
920	11732	1006
921	11744	993
922	11758	980
923	11768	967
924	11783	955
925	11797	942
926	11809	929
927	11826	917
928	11837	904
929	11852	892
930	11863	879
931	11875	866
932	11887	853
933	11900	840
934	11910	827
935	11921	815
936	11931	802
937	11943	789
938	11955	776
939	11971	764
940	11986	751
941	11996	738
942	12007	725
943	12016	712
944	12029	700
945	12039	687
946	12049	674
947	12059	661
948	12070	648
949	12080	635
950	12091	623
951	12103	610
952	12110	597
953	12122	584
954	12134	571
955	12148	559
956	12157	546
957	12166	533
958	12177	520
959	12190	507
960	12199	495
961	12208	482
962	12218	469
963	12228	456
964	12240	443
965	12251	431
966	12263	418
967	12272	405
968	12283	392
969	12294	380
970	12316	367
971	12324	355
972	12331	342
973	12339	329
974	12351	316
975	12361	303
976	12373	291
977	12390	278
978	12397	265
979	12403	253
980	12414	240
981	12424	227
982	12435	215
983	12455	202
984	12463	189
985	12473	177
986	12483	164
987	12493	151
988	12503	139
989	12515	126
990	12524	113
991	12534	101
992	12543	88
993	12552	75
994	12561	63
995	12586	50
996	12595	37
997	12604	25
998	12615	12
999	12623	0
