iter	RMSE
0	5988.498089
1	5921.480151
2	5858.153449
3	5795.39764
4	5733.653122
5	5669.576524
6	5601.884454
7	5542.142879
8	5480.382796
9	5422.681361
10	5365.378976
11	5304.673935
12	5246.940987
13	5185.188089
14	5128.871392
15	5070.743626
16	5015.404551
17	4959.697512
18	4906.463546
19	4855.11833
20	4804.098521
21	4754.642928
22	4705.672228
23	4653.295198
24	4605.206003
25	4553.832758
26	4503.401286
27	4455.760492
28	4410.388943
29	4362.550883
30	4315.087048
31	4268.270584
32	4223.78268
33	4178.516149
34	4135.036168
35	4089.031332
36	4043.645837
37	4003.135545
38	3960.013346
39	3918.901283
40	3878.15868
41	3836.029661
42	3799.614036
43	3759.399851
44	3715.446244
45	3675.860958
46	3635.165599
47	3599.14891
48	3559.919499
49	3521.435292
50	3486.154662
51	3447.626221
52	3411.129568
53	3373.471906
54	3336.55255
55	3305.254181
56	3269.954669
57	3235.597436
58	3203.647966
59	3172.204229
60	3139.63012
61	3108.875531
62	3078.581275
63	3047.18616
64	3015.006105
65	2983.287423
66	2954.614882
67	2925.215638
68	2895.656505
69	2865.817643
70	2838.322297
71	2810.451559
72	2782.209461
73	2754.452282
74	2727.388465
75	2701.686036
76	2676.755514
77	2650.226027
78	2625.677331
79	2601.275716
80	2575.668272
81	2552.142362
82	2526.656239
83	2502.625469
84	2477.205472
85	2454.163519
86	2432.427276
87	2407.292699
88	2386.167363
89	2363.899512
90	2342.073671
91	2321.807471
92	2300.103006
93	2278.825613
94	2254.135644
95	2231.379393
96	2208.983204
97	2189.573392
98	2170.48699
99	2152.392515
100	2131.919103
101	2115.596039
102	2096.276008
103	2078.003156
104	2039.51036
105	2022.456927
106	2005.470813
107	1987.722977
108	1970.582499
109	1928.84979
110	1913.344289
111	1877.283128
112	1863.334827
113	1847.897822
114	1832.634602
115	1817.549156
116	1803.530374
117	1788.540803
118	1756.042444
119	1741.95309
120	1728.695602
121	1716.332287
122	1700.683627
123	1688.272875
124	1661.821334
125	1636.467701
126	1624.300499
127	1610.227632
128	1574.394113
129	1561.806551
130	1549.94629
131	1536.691647
132	1525.749347
133	1493.640244
134	1464.246252
135	1449.929969
136	1426.117411
137	1414.041637
138	1402.37231
139	1392.271793
140	1381.378584
141	1358.670742
142	1349.041464
143	1329.714131
144	1319.348949
145	1309.87685
146	1289.960987
147	1280.736907
148	1256.900722
149	1248.361681
150	1239.068827
151	1218.572232
152	1194.759758
153	1186.582339
154	1177.00586
155	1168.90211
156	1160.746089
157	1138.718606
158	1130.793997
159	1123.202422
160	1113.937156
161	1106.302356
162	1099.055471
163	1091.47854
164	1072.617754
165	1054.446288
166	1046.54111
167	1028.701268
168	1021.618995
169	1014.55161
170	997.818969
171	982.7163909
172	975.3180232
173	968.9850974
174	961.3632653
175	943.2065086
176	937.1700757
177	931.0895298
178	925.0037859
179	908.6291838
180	902.6378776
181	886.3820677
182	880.7100689
183	864.8490586
18184	857.84019185185	852.33455186186	837.4034432
187	823.8201561
188	818.8262942
189	813.848190	190	808.8978921
191	803.6752234
192	790.8702701
193	777.8672745
194	771.6922134
195	767.008876
196	754.4306486
197	741.44578198198	736.5550734
199	732.0978858
200	727.7656554
201	714.8032007
202	710.59769203203	706.50362204204	701.9881220205	691.32204020206	687.40667207	677.306537
208	673.2528666
209	669.2640327
210210	657.66843211211	654.02723212212	643.28509213213	633.22524214214	629.05651215	624.1244418
216	620.483186
217	217	618.994218218	608.46108219219	604.54338220220	601.359532221	598.23168432222	588.1527932
223	585.0754456
224	576.1217242
225	571.9467662
226	568.8258727
227	560.7247801
228	557.3202696
229	554.5409815
230	545.2771408
231	542.5720963
232	539.9100802
233	536.9018123
234	533.9286051
235	526.1776061
236	518.8286467
237	516.3647293
238	513.5969846
239	505.7972521
240	503.1835524
241	500.8621099
242	498.592277
243	490.7710817
244	488.5688489
245	486.3952004
246	484.0327086
247	476.5413016
248	469.9115863
249	467.654325
